statename,NAMEID,type,zri_up_st,quint
CA,reedley,city,-0.988828348296067,1
CA,richmond,city,0.95436297086866,5
CA,ripon,city,2.14449447468218,5
CA,riverside,city,1.89628447301632,5
CA,rocklin,city,0.39297889044739,4
CA,rohnertpark,city,2.86912570611589,5
CA,ross,town,0.0230427415814193,3
CA,sananselmo,town,0.768682224682712,4
CA,sanbruno,city,1.38776497950984,5
CA,sanbuenaventura,city,1.30438260117969,5
CA,sancarlos,city,1.9539695643605,5
CA,sanclemente,city,0.926705869048356,5
CA,sandiego,city,1.43143951053264,5
CA,sanfernando,city,0.70573395720091,4
CA,sanfrancisco,city,1.65623137450631,5
CA,sanjose,city,1.52058727414023,5
CA,sanleandro,city,0.307733882251611,4
CA,sanluisobispo,city,2.81136355904816,5
CA,sanmarino,city,-0.0028561371327522,3
CA,sanmateo,city,1.0545012869035,5
CA,sanpablo,city,1.71063215443151,5
CA,sanrafael,city,1.94131337379685,5
CA,sanramon,city,1.88289604864492,5
CA,santaana,city,0.566639150577536,4
CA,santaclara,city,1.35877193156322,5
CA,santamaria,city,0.175803803928825,3
CA,santapaula,city,3.33117953248885,5
CA,santee,city,0.306153267537044,4
CA,sausalito,city,0.17261241404612,3
CA,scottsvalley,city,2.0604770237311,5
CA,sealbeach,city,0.663248911362931,4
CA,seaside,city,0.299668789746555,4
CA,selma,city,0.610965592849757,4
CA,shastalake,city,0.534784924100139,4
CA,signalhill,city,0.39312191722624,4
CA,simivalley,city,1.53569784849064,5
CA,solanabeach,city,0.50800437382155,4
CA,soledad,city,0.9253147280584,5
CA,sonoma,city,1.65377883010275,5
CA,southpasadena,city,0.991982788583092,5
CA,southsanfrancisco,city,2.54630491559133,5
CA,sthelena,city,2.31480993674518,5
CA,susanville,city,-0.265300963193607,3
CA,tiburon,town,0.545418244785852,4
CA,tustin,city,0.420624727504565,4
CA,ukiah,city,0.920690569964339,5
CA,union,city,0.578178318340053,4
CA,visalia,city,0.472194183376561,4
CA,vista,city,0.98448115582308,5
CA,walnutcreek,city,1.96128679468233,5
CA,waterford,city,0.959721338344345,5
CA,weed,city,-0.954588508829309,1
CA,westsacramento,city,1.64246187289506,5
CA,whittier,city,0.736998021957915,4
CA,williams,city,1.13371896479464,5
CA,willows,city,0.334610264202081,4
CA,windsor,town,1.94341775434069,5
CA,woodlake,city,0.879486933289925,5
