month,total_amount,program
2021-01-01,10712630.019999988,ERA 1
2021-02-01,25915922.209999908,ERA 1
2021-03-01,90697715.96999985,ERA 1
2021-04-01,178056240.3199999,ERA 1
2021-05-01,289461849.969999,ERA 1
2021-06-01,582626861.2400876,ERA 1
2021-07-01,660513150.000017,ERA 1
2021-08-01,994543566.4260392,ERA 1
2021-09-01,1300253107.449982,ERA 1
2021-10-01,1329319788.5200467,ERA 1
2021-11-01,893634992.4132787,ERA 1
2021-12-01,589064283.3300054,ERA 1
2022-01-01,526301614.42163914,ERA 1
2022-02-01,388603387.08139634,ERA 1
2022-03-01,446737875.8190088,ERA 1
2022-04-01,288021523.07999974,ERA 1
2022-05-01,357632969.45850015,ERA 1
2022-06-01,296311105.81999767,ERA 1
2022-07-01,181996917.1299986,ERA 1
2022-08-01,217252120.29999885,ERA 1
2022-09-01,237778262.76999906,ERA 1
2022-10-01,74395846.74999931,ERA 1
2022-11-01,40332153.84999991,ERA 1
2022-12-01,29407102.089999866,ERA 1
2021-03-01,412245.93999999994,ERA 2
2021-04-01,663332.2700000003,ERA 2
2021-05-01,961394.8899999995,ERA 2
2021-06-01,4731431.909999995,ERA 2
2021-07-01,9151272.47999999,ERA 2
2021-08-01,21769466.099999942,ERA 2
2021-09-01,41720575.16999983,ERA 2
2021-10-01,165908375.04000056,ERA 2
2021-11-01,574495738.0899905,ERA 2
2021-12-01,657193040.5800031,ERA 2
2022-01-01,567504649.9399974,ERA 2
2022-02-01,540431093.8099971,ERA 2
2022-03-01,818373952.2963101,ERA 2
2022-04-01,633461883.2895311,ERA 2
2022-05-01,557214466.0188075,ERA 2
2022-06-01,639571173.9300052,ERA 2
2022-07-01,398451119.55099756,ERA 2
2022-08-01,351061467.4711005,ERA 2
2022-09-01,267856085.5780017,ERA 2
2022-10-01,245444837.6192483,ERA 2
2022-11-01,237869209.06399822,ERA 2
2022-12-01,220253778.65999958,ERA 2
2023-01-01,156813963.64999837,ERA 2
2023-02-01,106375747.86999884,ERA 2
2023-03-01,91863059.75655256,ERA 2
