fips_state,state_name,state_med_tract_total_unique_assisted_addresses_2021_renters_le80,pct_tracts
01,Alabama,0.03636363636363636,68.7
02,Alaska,0.3673469387755102,97.2
05,Arkansas,0.06944927536231885,85.39999999999999
06,California,0.05,73
09,Connecticut,0.04262295081967213,1.5
10,Delaware,0.06470588235294118,94.69999999999999
12,Florida,0.08484848484848485,81.69999999999999
13,Georgia,0.02962962962962963,78
15,Hawaii,0.16082474226804125,79.80000000000001
16,Idaho,0.05769230769230769,97.6
17,Illinois,0.04897959183673469,44.3
20,Kansas,0.05,80
21,Kentucky,0.06923076923076923,97.5
23,Maine,0.15,98.3
25,Massachusetts,0.04882206208425721,83
26,Michigan,0.06691542288557215,73
28,Mississippi,0.06206896551724138,87.9
29,Missouri,0.0375,79.3
31,Nebraska,0.05714285714285714,93.30000000000001
32,Nevada,0.02121212121212121,12.3
33,New Hampshire,0.0984600805496328,98.6
35,New Mexico,0.12,94.89999999999999
36,New York,0.0416922290388548,93.8
37,North Carolina,0.16470588235294115,63.3
40,Oklahoma,0.07368421052631578,96.39999999999999
44,Rhode Island,0.08229166666666667,98.8
45,South Carolina,0.06176470588235294,64.2
46,South Dakota,0.03454545454545454,95
47,Tennessee,0.02352941176470588,66.3
48,Texas,0.13846153846153847,76.9
50,Vermont,0.1760281690140845,99.5
51,Virginia,0.075,84.5
53,Washington,0.06192453511464163,36.199999999999996
54,West Virginia,0.05773809523809524,99.5
55,Wisconsin,0.05510204081632653,97.1
