week_date,filing_type,cum_filings
01/01/2020,cumulative,1.3
02/01/2020,cumulative,1.3
03/01/2020,cumulative,1.3
04/01/2020,cumulative,1.3
05/01/2020,cumulative,1.3
06/01/2020,cumulative,1.3
07/01/2020,cumulative,1.3
08/01/2020,cumulative,1.3
09/01/2020,cumulative,1.9
