age_group,race,sex,ER_f,ER_f_lower,ER_f_upper,EFR_f,EFR_f_lower,EFR_f_upper,ER_m,ER_m_lower,ER_m_upper,EFR_m,EFR_m_lower,EFR_m_upper
80+,All,0.36,0.3,0.43,0.87,0.77,0.97,0.34,0.25,0.42,0.91,0.76,1.07
75-79,All,0.61,0.49,0.72,1.5,1.3,1.69,0.67,0.52,0.82,1.69,1.42,1.94
70-74,All,1.01,0.85,1.15,2.39,2.16,2.63,1.06,0.87,1.23,2.43,2.14,2.72
65-69,All,1.29,1.15,1.44,2.99,2.77,3.23,1.54,1.36,1.73,3.11,2.83,3.39
60-64,All,1.8,1.65,1.94,4.54,4.27,4.8,1.85,1.68,2.02,4,3.74,4.25
55-59,All,2.6,2.43,2.76,6,5.74,6.25,2.57,2.41,2.74,5.34,5.08,5.59
50-54,All,3.25,3.1,3.41,7.45,7.17,7.71,3.18,3,3.35,6.17,5.93,6.43
45-49,All,4.16,3.97,4.35,8.66,8.37,8.95,3.35,3.18,3.52,6.83,6.55,7.08
40-44,All,4.67,4.47,4.86,9.69,9.41,9.97,3.48,3.31,3.64,7.05,6.8,7.3
35-39,All,4.79,4.6,4.97,9.89,9.6,10.17,3.63,3.47,3.8,7.1,6.83,7.36
30-34,All,4.54,4.38,4.72,9.31,9.06,9.54,3.31,3.17,3.46,6.53,6.32,6.75
25-29,All,4.09,3.95,4.23,8.3,8.09,8.52,3.34,3.2,3.48,6.56,6.36,6.77
20-24,All,4.56,4.41,4.72,8.62,8.4,8.83,3.99,3.83,4.14,7.47,7.23,7.7
15-19,All,5.92,5.69,6.14,11.22,10.9,11.52,5.54,5.33,5.75,10.96,10.65,11.29
10-14,All,5.59,5.36,5.83,11.2,10.87,11.54,5.78,5.55,6.01,11.08,10.78,11.39
5-9,All,5.71,5.48,5.93,11.12,10.8,11.44,5.39,5.19,5.61,10.72,10.45,11.01
0-4,All,5.66,5.47,5.87,10.67,10.4,10.94,5.71,5.51,5.91,10.73,10.44,11.02
