"","cbsaname","before","after","sub_shift","direction","row","city","states","state","metro","metro_fact","highlighted"
"49","Greeley, CO (Metro)",0.546413052533753,0.638840731546689,-0.0924276790129366,"more suburban",49,"Greeley"," CO ","CO","Greeley, CO","Greeley, CO","false"
"50","Richmond, VA (Metro)",0.554121145216789,0.596067381062929,-0.0419462358461401,"more suburban",50,"Richmond"," VA ","VA","Richmond, VA","Richmond, VA","false"
"51","Cincinnati, OH-KY-IN (Metro)",0.562630549701646,0.572744283726452,-0.0101137340248061,"more suburban",51,"Cincinnati"," OH-KY-IN ","OH","Cincinnati, OH","Cincinnati, OH","false"
"52","Ogden-Clearfield, UT (Metro)",0.569154438839373,0.663153098322354,-0.0939986594829811,"more suburban",52,"Ogden"," UT ","UT","Ogden, UT","Ogden, UT","false"
"53","Asheville, NC (Metro)",0.573235549049651,0.649116213908484,-0.0758806648588325,"more suburban",53,"Asheville"," NC ","NC","Asheville, NC","Asheville, NC","false"
"54","Hartford-West Hartford-East Hartford, CT (Metro)",0.581560865679056,0.588303516009999,-0.0067426503309429,"more suburban",54,"Hartford"," CT ","CT","Hartford, CT","Hartford, CT","false"
"55","Eugene, OR (Metro)",0.586443490797024,0.534450509185817,0.0519929816112068,"more urban",55,"Eugene"," OR ","OR","Eugene, OR","Eugene, OR","false"
"56","Charlottesville, VA (Metro)",0.603400963944775,0.67559379728302,-0.0721928333382453,"more suburban",56,"Charlottesville"," VA ","VA","Charlottesville, VA","Charlottesville, VA","false"
"57","McAllen-Edinburg-Mission, TX (Metro)",0.630604116699396,0.708726689152388,-0.0781225724529913,"more suburban",57,"McAllen"," TX ","TX","McAllen, TX","McAllen, TX","false"
"58","Lakeland-Winter Haven, FL (Metro)",0.634506545232936,0.703708292238351,-0.0692017470054146,"more suburban",58,"Lakeland"," FL ","FL","Lakeland, FL","Lakeland, FL","false"
"59","St. Louis, MO-IL (Metro)",0.638249117566259,0.693708571404084,-0.0554594538378246,"more suburban",59,"St. Louis"," MO-IL ","MO","St. Louis, MO","St. Louis, MO","false"
"60","Youngstown-Warren-Boardman, OH-PA (Metro)",0.638597189828988,0.65986931107161,-0.0212721212426218,"more suburban",60,"Youngstown"," OH-PA ","OH","Youngstown, OH","Youngstown, OH","false"
"61","Orlando-Kissimmee-Sanford, FL (Metro)",0.638746852646701,0.698327960783852,-0.0595811081371502,"more suburban",61,"Orlando"," FL ","FL","Orlando, FL","Orlando, FL","false"
"62","Tampa-St. Petersburg-Clearwater, FL (Metro)",0.640852451654465,0.633274347839651,0.0075781038148145,"more urban",62,"Tampa"," FL ","FL","Tampa, FL","Tampa, FL","true"
"63","Providence-Warwick, RI-MA (Metro)",0.641977386809962,0.683000160314984,-0.0410227735050223,"more suburban",63,"Providence"," RI-MA ","RI","Providence, RI","Providence, RI","false"
"64","Boston-Cambridge-Newton, MA-NH (Metro)",0.654099426103137,0.718655244444455,-0.0645558183413181,"more suburban",64,"Boston"," MA-NH ","MA","Boston, MA","Boston, MA","false"
"65","Pittsburgh, PA (Metro)",0.665138696717032,0.709655614965704,-0.0445169182486725,"more suburban",65,"Pittsburgh"," PA ","PA","Pittsburgh, PA","Pittsburgh, PA","false"
"66","College Station-Bryan, TX (Metro)",0.675908473104978,0.765164397579856,-0.0892559244748777,"more suburban",66,"College Station"," TX ","TX","College Station, TX","College Station, TX","false"
"67","Seattle-Tacoma-Bellevue, WA (Metro)",0.722472023208278,0.787563128961029,-0.0650911057527515,"more suburban",67,"Seattle"," WA ","WA","Seattle, WA","Seattle, WA","true"
"68","Scranton--Wilkes-Barre--Hazleton, PA (Metro)",0.72770286991246,0.735656127893724,-0.00795325798126389,"more suburban",68,"Scranton"," PA ","PA","Scranton, PA","Scranton, PA","false"
"69","Olympia-Tumwater, WA (Metro)",0.731800640534824,0.748164589072907,-0.016363948538083,"more suburban",69,"Olympia"," WA ","WA","Olympia, WA","Olympia, WA","false"
"70","Boulder, CO (Metro)",0.737707462758904,0.753862907744773,-0.0161554449858687,"more suburban",70,"Boulder"," CO ","CO","Boulder, CO","Boulder, CO","false"
"71","Barnstable Town, MA (Metro)",0.77275839371516,0.681478431608669,0.0912799621064909,"more urban",71,"Barnstable Town"," MA ","MA","Barnstable Town, MA","Barnstable Town, MA","false"
"72","Salt Lake City, UT (Metro)",0.788893318822493,0.788545766180037,0.000347552642456228,"more urban",72,"Salt Lake City"," UT ","UT","Salt Lake City, UT","Salt Lake City, UT","false"
"73","Palm Bay-Melbourne-Titusville, FL (Metro)",0.797124459649554,0.820871287323651,-0.0237468276740964,"more suburban",73,"Palm Bay"," FL ","FL","Palm Bay, FL","Palm Bay, FL","false"
"74","Pensacola-Ferry Pass-Brent, FL (Metro)",0.837512762273584,0.844312154922313,-0.00679939264872942,"more suburban",74,"Pensacola"," FL ","FL","Pensacola, FL","Pensacola, FL","false"
