metro,after,before,highlighted
"Akron, OH",0.04197408326440584,0.04390243902439025,
"Albuquerque, NM",0.05055292259083728,0.03091123325678928,
"Ann Arbor, MI",0.03759175607001694,0.011494252873563218,
"Appleton, WI",0.015123456790123458,0.011398813049987614,
"Asheville, NC",0.023148148148148147,0.02231105742940756,
"Austin, TX",0.030865125876478043,0.017520585018822074,
"Barnstable Town, MA",0.028019323671497585,0.022222222222222223,
"Birmingham, AL",0.017094017094017096,0.013333333333333334,
"Boston, MA",0.01977401129943503,0.01368821644274621,
"Bremerton, WA",0.01192504258943782,0.005376344086021506,
"Canton, OH",0.03565891472868217,0.019553072625698324,
"Cedar Rapids, IA",0.020536776497931175,0.02433206106870229,
"Charleston, SC",0.03695150115473441,0.030982252141982865,
"Charlotte, NC",0.0690085620154274,0.04521452145214521,
"Chico, CA",0.024657534246575342,0.01026694045174538,
"Cincinnati, OH",0.048673962021242356,0.0425531914893617,
"Cleveland, OH",0.04837067209775967,0.035618279569892476,
"Columbus, OH",0.048608013217678644,0.035087083730109436,
"Dayton, OH",0.03729281767955801,0.027587256959073596,
"Denver, CO",0.030303030303030304,0.01859438350371863,
"Durham, NC",0.05707310483248418,0.036422764227642276,
"El Paso, TX",0.012690967569016349,0.012903225806451613,
"Eugene, OR",0.01901565995525727,0.014111994200489777,
"Evansville, IN",0.0980788675429727,0.09688195991091314,
"Fayetteville, NC",0.08631980045791861,0.05658956428187198,
"Gainesville, FL",0.02750845546786922,0.017744394618834078,
"Green Bay, WI",0.022170645446507514,0.01710914454277286,
"Greensboro, NC",0.05893757211392482,0.04369918699186992,
"Hartford, CT",0.03863625102635975,0.030713640469738034,
"Hickory, NC",0.03846989566557475,0.041726618705035974,
"Houston, TX",0.04441426146010187,0.038537549407114624,
"Huntsville, AL",0.01953125,0.01188861510281515,
"Jacksonville, FL",0.06302151954325867,0.040821016048246964,
"Kansas City, MO",0.054003724394785846,0.04949847079994513,
"Killeen, TX",0.0695906432748538,0.03922641524246159,
"Lakeland, FL",0.030393325387365912,0.030776515151515152,
"Las Vegas, NV",0.05779928127573557,0.0635477582846004,
"Lexington, KY",0.07731958762886598,0.04161598251654537,
"Lincoln, NE",0.031007965165675444,0.017631908831908835,
"Louisville, KY",0.08401247590769392,0.07010769683158127,
"Lynchburg, VA",0.044119058281619855,0.029947916666666668,
"Macon, GA",0.0654911838790932,0.05011389521640091,
"Miami, FL",0.0237604237318038,0.018518518518518517,
"Milwaukee, WI",0.03027992957746479,0.018312220566318926,
"Mobile, AL",0.026748971193415638,0.016791044776119403,
"Montgomery, AL",0.03576681321787588,0.01520657581656933,
"Myrtle Beach, SC",0.04745149491094147,0.037033608407391734,
"North Port, FL",0.022086505758033975,0.018018018018018018,
"Ogden, UT",0.008087810514153668,0.009345794392523364,
"Omaha, NE",0.036155202821869487,0.015833847419288505,
"Orlando, FL",0.03115368658131816,0.020767885637958897,
"Palm Bay, FL",0.0327424913835549,0.025830574611062418,
"Providence, RI",0.0395018658677599,0.02976190476190476,
"Raleigh, NC",0.045247524752475246,0.021551724137931036,
"Richmond, VA",0.11126373626373626,0.08408408408408409,
"Salisbury, MD",0.049999999999999996,0.04094117647058823,
"Salt Lake City, UT",0.015625,0.016129032258064516,
"Seattle, WA",0.010931021485111195,0.006858710562414267,
"South Bend, IN",0.06654366543665437,0.06534572793600238,
"Springfield, MA",0.02717391304347826,0.02564925812522048,
"Springfield, MO",0.035522388059701496,0.027534036759700474,
"St. Louis, MO",0.0493775624467214,0.04298941798941799,
"Tallahassee, FL",0.03366316611962022,0.03232472762773458,
"Tampa, FL",0.040252182347235696,0.031014675974275818,
"Toledo, OH",0.05119055930811042,0.04543325526932084,
"Tucson, AZ",0.058454668996311396,0.015503875968992248,true
"Tuscaloosa, AL",0.014242280926964394,0.02620710598238688,
"Virginia Beach, VA",0.08865384154668071,0.07118000632711168,
"Wilmington, NC",0.040884338077195666,0.04003438707364676,
"Winston, NC",0.055660964370417794,0.04790190945488143,
"Worcester, MA",0.021363173957273652,0.016011357233284305,
"Youngstown, OH",0.04226208495143532,0.04788135593220339,
