month,month_last_day,month_filings,avg_filings,percentage_diff,end_moratorium_date,start_moratorium_date
January,,6309,5393.5,1.16974135533513,30/04/2020,19/03/2020
February,,5529,4113,1.34427425237053,30/04/2020,19/03/2020
March,,3073,3592.75,0.855333658061374,30/04/2020,19/03/2020
April,18/04/2020,248,2264.25,0.109528541459644,30/04/2020,19/03/2020
