week_date,week_filings,avg_filings,percentage_diff,end_moratorium_date,start_moratorium_date
05/01/2020,1321,1123,1.17631344612645,30/04/2020,19/03/2020
12/01/2020,2171,1775.25,1.22292634840163,30/04/2020,19/03/2020
19/01/2020,1731,1257,1.37708830548926,30/04/2020,19/03/2020
26/01/2020,850,1056.75,0.804352969008753,30/04/2020,19/03/2020
02/02/2020,419,670.75,0.624673872530749,30/04/2020,19/03/2020
09/02/2020,2299,1707,1.34680726420621,30/04/2020,19/03/2020
16/02/2020,1711,987.25,1.73309698657888,30/04/2020,19/03/2020
23/02/2020,1100,706.5,1.55697098372258,30/04/2020,19/03/2020
01/03/2020,416,441.25,0.942776203966006,30/04/2020,19/03/2020
08/03/2020,1463,1313.5,1.11381804339551,30/04/2020,19/03/2020
15/03/2020,926,1014.25,0.912989894010352,30/04/2020,19/03/2020
22/03/2020,222,679.25,0.326831063673169,30/04/2020,19/03/2020
29/03/2020,73,379,0.192612137203166,30/04/2020,19/03/2020
05/04/2020,34,829.25,0.0410009044317154,30/04/2020,19/03/2020
12/04/2020,187,1200.5,0.155768429820908,30/04/2020,19/03/2020
