GEOID,month_year_start,filings,filing_rate,diff_new,diff_old,rel_new,rel_old
39035101101,02/2024,44,0.0485115766262404,0.857142857142857,0.72289156626506,-0.14285714285714302,-0.27710843373494
39035101102,02/2024,32,0.0187683284457478,0.767441860465116,0.334177215189873,-0.23255813953488402,-0.665822784810127
39035101201,02/2024,18,0.0133136094674556,0.844444444444445,0.336283185840708,-0.155555555555555,-0.663716814159292
39035101300,02/2024,31,0.0369487485101311,1.06666666666667,0.677248677248677,0.06666666666666998,-0.322751322751323
39035101400,02/2024,30,0.0581395348837209,0.885714285714286,0.541484716157205,-0.11428571428571399,-0.45851528384279505
39035101501,02/2024,41,0.0711805555555556,1.07692307692308,0.615384615384615,0.07692307692307998,-0.384615384615385
39035101603,02/2024,30,0.048,0.765432098765432,0.457564575645757,-0.23456790123456805,-0.5424354243542431
39035101700,02/2024,82,0.0717410323709536,0.994011976047904,0.732891832229581,-0.005988023952095967,-0.267108167770419
39035101800,02/2024,32,0.0446927374301676,0.702127659574468,0.434210526315789,-0.297872340425532,-0.5657894736842111
39035101901,02/2024,16,0.0512820512820513,0.85,0.47887323943662,-0.15000000000000002,-0.52112676056338
39035102101,02/2024,44,0.0619718309859155,0.656934306569343,0.55045871559633,-0.34306569343065696,-0.44954128440367
39035102102,02/2024,42,0.0670926517571885,0.747826086956522,0.639405204460967,-0.252173913043478,-0.36059479553903295
39035102200,02/2024,24,0.0413793103448276,0.694444444444445,0.495049504950495,-0.305555555555555,-0.504950495049505
39035102300,02/2024,26,0.0448275862068966,0.84375,0.519230769230769,-0.15625,-0.48076923076923095
39035102401,02/2024,30,0.0681818181818182,0.898550724637681,0.613861386138614,-0.10144927536231896,-0.38613861386138604
39035102402,02/2024,42,0.0590717299578059,0.924731182795699,0.547770700636943,-0.07526881720430101,-0.452229299363057
39035102700,02/2024,54,0.0528375733855186,0.763888888888889,0.480349344978166,-0.23611111111111105,-0.519650655021834
39035102800,02/2024,29,0.0644444444444445,1.22448979591837,0.597014925373134,0.22448979591837004,-0.40298507462686595
39035102900,02/2024,27,0.0723860589812333,0.811594202898551,0.636363636363636,-0.188405797101449,-0.363636363636364
39035103300,02/2024,14,0.011119936457506,0.566037735849057,0.14018691588785,-0.43396226415094297,-0.85981308411215
