site,year,month,filings,avg_filings_old,avg_filings_new,pct_diff_old,pct_diff_new
philadelphia,2025,03,1139,1668,1142,-31.71462829736211,-0.2626970227670753
columbus,2025,03,1934,1621,1770,19.309068476249227,9.265536723163843
