site,date,filings,avg_filings_old,avg_filings_new,pct_diff_old,pct_diff_new
columbus,01/01/2020,1578,1621,2398,-2.652683528685996,-34.195162635529606
columbus,01/01/2021,926,1621,2398,-42.874768661320175,-61.38448707256047
columbus,01/01/2022,1664,1621,2398,2.652683528685996,-30.608840700583823
columbus,01/01/2023,2030,1621,2398,25.23133867982727,-15.346121768140117
columbus,01/01/2024,2767,1621,2398,70.69710055521283,15.387823185988323
columbus,01/01/2025,2355,1621,2398,45.28069093152375,-1.793160967472894
columbus,02/01/2020,1380,1339,2014,3.061986557132188,-31.479642502482623
columbus,02/01/2021,825,1339,2014,-38.38685586258402,-59.03674280039722
columbus,02/01/2022,1549,1339,2014,15.683345780433159,-23.088381330685202
columbus,02/01/2023,1986,1339,2014,48.31964152352502,-1.3902681231380336
columbus,02/01/2024,2131,1339,2014,59.14861837191935,5.809334657398212
columbus,02/01/2025,1988,1339,2014,48.46900672143391,-1.2909632571996028
columbus,03/01/2020,823,1621,1770,-49.228871067242444,-53.50282485875706
columbus,03/01/2021,1666,1621,1770,2.7760641579272054,-5.875706214689266
columbus,03/01/2022,1647,1621,1770,1.6039481801357187,-6.9491525423728815
columbus,03/01/2023,1887,1621,1770,16.409623689080817,6.610169491525424
columbus,03/01/2024,1652,1621,1770,1.9123997532387416,-6.666666666666667
columbus,03/01/2025,1934,1621,1770,19.309068476249227,9.265536723163843
columbus,04/01/2020,297,1376,1752,-78.41569767441861,-83.04794520547945
columbus,04/01/2021,1032,1376,1752,-25,-41.0958904109589
columbus,04/01/2022,1427,1376,1752,3.7063953488372094,-18.550228310502284
columbus,04/01/2023,1640,1376,1752,19.186046511627907,-6.392694063926941
columbus,04/01/2024,1865,1376,1752,35.537790697674424,6.449771689497717
columbus,05/01/2020,394,1622,2304,-75.70900123304563,-82.89930555555556
columbus,05/01/2021,930,1622,2304,-42.66337854500616,-59.635416666666664
columbus,05/01/2022,1716,1622,2304,5.7953144266337855,-25.520833333333332
columbus,05/01/2023,1983,1622,2304,22.256473489519113,-13.932291666666666
columbus,05/01/2024,2624,1622,2304,61.775585696670774,13.88888888888889
columbus,06/01/2020,682,1420,2062,-51.97183098591549,-66.92531522793405
columbus,06/01/2021,1208,1420,2062,-14.929577464788732,-41.41610087293889
columbus,06/01/2022,1631,1420,2062,14.859154929577464,-20.90203685741998
columbus,06/01/2023,2134,1420,2062,50.28169014084507,3.4917555771096023
columbus,06/01/2024,1989,1420,2062,40.07042253521127,-3.5402521823472357
columbus,07/01/2020,768,1651,2254,-53.48273773470624,-65.92724046140195
columbus,07/01/2021,1535,1651,2254,-7.026044821320412,-31.898846495119788
columbus,07/01/2022,1827,1651,2254,10.660205935796487,-18.944099378881987
columbus,07/01/2023,2047,1651,2254,23.985463355542098,-9.183673469387756
columbus,07/01/2024,2461,1651,2254,49.061175045427014,9.183673469387756
columbus,08/01/2020,978,1663,2327,-41.190619362597715,-57.97163730124624
columbus,08/01/2021,1477,1663,2327,-11.184606133493686,-36.5277180919639
columbus,08/01/2022,1887,1663,2327,13.469633193024656,-18.90846583584014
columbus,08/01/2023,2438,1663,2327,46.60252555622369,4.77009024495058
columbus,08/01/2024,2216,1663,2327,33.25315694527961,-4.77009024495058
columbus,09/01/2020,1399,1871,2014,-25.227151256012824,-30.536246276067523
columbus,09/01/2021,1420,1871,2014,-24.10475681453768,-29.493545183714005
columbus,09/01/2022,2047,1871,2014,9.406734366648852,1.638530287984111
columbus,09/01/2023,1983,1871,2014,5.986103687867451,-1.5392254220456802
columbus,09/01/2024,2045,1871,2014,9.299839657936932,1.5392254220456802
columbus,10/01/2020,1321,1764,2252,-25.11337868480726,-41.34103019538188
columbus,10/01/2021,1481,1764,2252,-16.04308390022676,-34.236234458259325
columbus,10/01/2022,2061,1764,2252,16.83673469387755,-8.481349911190053
columbus,10/01/2023,2162,1764,2252,22.56235827664399,-3.996447602131439
columbus,10/01/2024,2342,1764,2252,32.76643990929705,3.996447602131439
columbus,11/01/2020,840,1006,1674,-16.50099403578529,-49.82078853046595
columbus,11/01/2021,1294,1006,1674,28.628230616302186,-22.70011947431302
columbus,11/01/2022,1743,1006,1674,73.26043737574552,4.121863799283155
columbus,11/01/2023,1796,1006,1674,78.52882703777337,7.287933094384708
columbus,11/01/2024,1552,1006,1674,54.27435387673957,-7.287933094384708
columbus,12/01/2020,1657,1358,1873,22.017673048600884,-11.532301121195943
columbus,12/01/2021,1640,1358,1873,20.765832106038292,-12.439935931660438
columbus,12/01/2022,1634,1358,1873,20.3240058910162,-12.760277629471437
columbus,12/01/2023,1676,1358,1873,23.416789396170838,-10.517885744794448
columbus,12/01/2024,2070,1358,1873,52.43004418262151,10.517885744794448
