GEOID_full,NAME.x,zri_st_2022
5513310025,"Brookfield city, Waukesha County",0.270065392790543
5508913375,"Cedarburg city, Ozaukee County",-0.148913757347387
5513319400,"Delafield city, Waukesha County",0.512670773107879
5513323575,"Elm Grove village, Waukesha County",-0.266915054083988
5507927075,"Fox Point village, Milwaukee County",-1.4307247954148
5507927300,"Franklin city, Milwaukee County",0.617495485645964
5513128875,"Germantown village, Washington County",0.152064096053942
5508930000,"Grafton village, Ozaukee County",1.95788853183163
5507932075,"Hales Corners village, Milwaukee County",-1.05763888018984
5513333100,"Hartland village, Waukesha County",1.03851322106842
5513137675,"Jackson village, Washington County",-0.531796432229299
5513351000,"Menomonee Falls village, Waukesha County",0.140926097139955
5513355075,"Mukwonago town, Waukesha County",0.224172157877565
5507958800,"Oak Creek city, Milwaukee County",0.247789394962568
5513359250,"Oconomowoc city, Waukesha County",-1.41958679650081
5513362250,"Pewaukee village, Waukesha County",0.796117375785347
5508964450,"Port Washington city, Ozaukee County",1.06213045815343
5507973725,"Shorewood village, Milwaukee County",0.140926097139955
5513174400,"Slinger village, Washington County",-0.520658433315312
5508906150,"Belgium village, Ozaukee County",missing
5513307200,"Big Bend village, Waukesha County",missing
5507910375,"Brown Deer village, Milwaukee County",missing
5513311475,"Butler village, Waukesha County",missing
5513314225,"Chenequa village, Waukesha County",missing
5507917975,"Cudahy city, Milwaukee County",missing
5513320550,"Dousman village, Waukesha County",missing
5513321425,"Eagle village, Waukesha County",missing
5508927550,"Fredonia village, Ozaukee County",missing
5507929400,"Glendale city, Milwaukee County",missing
5507931125,"Greendale village, Milwaukee County",missing
5507931175,"Greenfield city, Milwaukee County",missing
5513342450,"Lannon village, Waukesha County",missing
5508951150,"Mequon city, Ozaukee County",missing
5513351375,"Merton village, Waukesha County",missing
5513355275,"Muskego city, Waukesha County",missing
5513355550,"Nashotah village, Waukesha County",missing
5513356375,"New Berlin city, Waukesha County",missing
5513358400,"North Prairie village, Waukesha County",missing
5513359300,"Oconomowoc Lake village, Waukesha County",missing
5513362240,"Pewaukee city, Waukesha County",missing
5513167475,"Richfield village, Washington County",missing
5507968325,"River Hills village, Milwaukee County",missing
5507970650,"St. Francis city, Milwaukee County",missing
5508971700,"Saukville village, Ozaukee County",missing
5507975125,"South Milwaukee city, Milwaukee County",missing
5513378750,"Sussex village, Waukesha County",missing
5508979475,"Thiensville village, Ozaukee County",missing
5513383175,"Wales village, Waukesha County",missing
5513384250,"Waukesha city, Waukesha County",missing
5507984675,"Wauwatosa city, Milwaukee County",missing
5507985300,"West Allis city, Milwaukee County",missing
5513185350,"West Bend city, Washington County",missing
5507985875,"West Milwaukee village, Milwaukee County",missing
5507986700,"Whitefish Bay village, Milwaukee County",missing
5513100425,"Addison town, Washington County",missing
5513105050,"Barton town, Washington County",missing
5508906175,"Belgium town, Ozaukee County",missing
5513310050,"Brookfield town, Waukesha County",missing
5508913400,"Cedarburg town, Ozaukee County",missing
5513319425,"Delafield town, Waukesha County",missing
5513321450,"Eagle town, Waukesha County",missing
5513124225,"Erin town, Washington County",missing
5513125375,"Farmington town, Washington County",missing
5508927575,"Fredonia town, Ozaukee County",missing
5513328487,"Genesee town, Waukesha County",missing
5513128900,"Germantown town, Washington County",missing
5508930025,"Grafton town, Ozaukee County",missing
5513133025,"Hartford town, Washington County",missing
5513137700,"Jackson town, Washington County",missing
5513139325,"Kewaskum town, Washington County",missing
5513344850,"Lisbon town, Waukesha County",missing
5513351400,"Merton town, Waukesha County",missing
5513359275,"Oconomowoc town, Waukesha County",missing
5513360700,"Ottawa town, Waukesha County",missing
5513163875,"Polk town, Washington County",missing
5508964475,"Port Washington town, Ozaukee County",missing
5508971725,"Saukville town, Ozaukee County",missing
5513378375,"Summit village, Waukesha County",missing
5513180575,"Trenton town, Washington County",missing
5513382575,"Vernon village, Waukesha County",missing
5513384275,"Waukesha village, Waukesha County",missing
5513184900,"Wayne town, Washington County",missing
5513185375,"West Bend town, Washington County",missing
5533000,"Hartford city",-0.662276967136915
5539300,"Kewaskum village",-0.147572518090359
5553000,"Milwaukee city",-0.0661555076030165
5555050,"Mukwonago village",0.512670773107879
5505450,"Bayside village",missing
5540750,"Lac La Belle village",missing
5556450,"Newburg village",missing
