GEOID_full,NAME.x,zri_st_2022
4801600,"Alamo Heights city",-0.638659730051913
4811224,"Bulverde city",-0.662276967136915
4813276,"Castle Hills city",-0.254435815912973
4813312,"Castroville city",-1.26548902450819
4814920,"Cibolo city",0.885547153298572
4826160,"Floresville city",-2.78225584051444
4833146,"Helotes city",-1.04650088127586
4842388,"Leon Valley city",-0.147572518090359
4843096,"Live Oak city",-0.673414966050903
4865000,"San Antonio city",2.11085459960148
4866128,"Schertz city",0.654289306929483
4866644,"Seguin city",0.654289306929483
4872296,"Terrell Hills city",-1.59482886209863
4805384,"Balcones Heights city",missing
4805528,"Bandera city",missing
4809160,"Boerne city",missing
4814404,"Charlotte city",missing
4814716,"China Grove town",missing
4814860,"Christine town",missing
4816468,"Converse city",missing
4820152,"Devine city",missing
4823272,"Elmendorf city",missing
4825168,"Fair Oaks Ranch city",missing
4828248,"Garden Ridge city",missing
4831100,"Grey Forest city",missing
4833968,"Hill Country Village city",missing
4834628,"Hollywood Park town",missing
4834676,"Hondo city",missing
4838116,"Jourdanton city",missing
4839448,"Kirby city",missing
4840108,"LaCoste city",missing
4841764,"La Vernia city",missing
4845096,"Luling city",missing
4845288,"Lytle city",missing
4846692,"Marion city",missing
4850400,"Natalia city",missing
4850796,"New Berlin city",missing
4850820,"New Braunfels city",missing
4851588,"Nixon city",missing
4853988,"Olmos Park city",missing
4858280,"Pleasanton city",missing
4859084,"Poteet city",missing
4859096,"Poth town",missing
4864172,"St. Hedwig town",missing
4865690,"Santa Clara city",missing
4866704,"Selma city",missing
4867268,"Shavano Park city",missing
4868708,"Somerset city",missing
4870376,"Stockdale city",missing
4874408,"Universal City city",missing
4875764,"Von Ormy city",missing
4879672,"Windcrest city",missing
