month,month_last_day,month_filings,avg_filings,percentage_diff,end_moratorium_date,start_moratorium_date
January,,1309,1077.8,1.21451104100946,30/04/2020,19/03/2020
February,,1056,835.4,1.26406511850611,30/04/2020,19/03/2020
March,,426,852.4,0.499765368371657,30/04/2020,19/03/2020
April,25/04/2020,14,893.2,0.0156739811912226,30/04/2020,19/03/2020
