GEOID,source
4001,0
12045,3
12123,3
29201,3
29069,3
29129,1
29031,3
25027,3
26163,0
26021,3
26077,3
26033,3
26071,2
37055,3
48443,1
48205,1
72113,0
72097,0
72037,0
60030,0
4013,0
15001,0
27167,0
27133,0
27119,0
27069,0
27125,0
27023,0
26097,1
38067,2
48405,1
48119,2
22019,0
22005,3
22071,0
22113,3
22043,3
38005,2
38097,2
38095,2
38037,1
28093,3
28001,3
28121,3
28143,3
28095,3
28039,2
28087,3
28163,3
28053,3
16061,2
16079,2
16077,2
2020,3
25011,3
51121,3
51075,2
51093,3
51137,3
51023,3
51009,3
51007,2
51097,1
51081,3
2066,1
2240,3
2195,3
2275,3
2164,1
2110,3
2282,1
32011,0
29197,1
48301,0
48155,1
31015,0
78010,0
78020,0
23021,3
16025,1
8107,0
8097,0
8117,0
8053,0
8023,0
8065,0
8057,0
13073,3
13205,3
34007,0
34027,0
34017,0
34001,0
34025,0
34011,0
34019,0
35045,3
35017,3
35007,3
35051,3
35055,3
1089,0
1117,3
1121,3
1073,0
53027,3
53049,0
1055,3
53011,3
53073,3
51107,3
13319,1
13021,3
13143,2
13151,3
13215,3
13113,3
13025,2
13301,2
13123,1
13183,2
13277,3
13291,2
13263,1
13265,1
37069,3
37123,3
37199,3
37155,3
37167,3
37161,3
37065,3
37041,3
37149,3
37113,3
37007,3
37023,3
37121,3
19075,0
19149,0
19117,0
19025,0
19111,0
18117,0
19163,0
19131,0
18125,0
18027,0
18123,0
20043,3
20145,2
21209,3
21107,3
21017,3
21079,3
21049,3
21051,3
20119,2
21239,3
20071,1
21005,3
21165,2
17163,3
17089,0
17167,3
17017,3
17161,3
17177,3
17109,3
17129,2
17125,2
39093,0
39061,0
39007,0
39167,0
39123,0
39079,0
6037,3
6087,3
6039,3
6019,3
6097,0
6099,3
6107,3
6013,3
6047,3
36047,3
36005,3
6105,3
36119,3
36071,3
6025,3
51019,3
1001,3
53009,1
53071,0
51089,3
53007,3
53025,0
53057,3
53037,0
1107,3
53043,2
33015,3
33007,3
32031,0
31071,1
31155,2
31089,2
31183,1
24039,0
24037,0
21111,3
22051,3
51159,2
51133,2
51057,3
21135,2
22031,3
22029,3
22111,2
21007,3
51103,2
21133,3
23003,3
21121,3
21167,3
21179,3
21125,3
21097,3
21029,3
51143,3
21217,3
51099,3
21159,3
21123,3
22109,3
24001,0
24003,0
24029,0
24013,0
25009,3
25013,3
24047,0
25025,0
37127,3
37099,3
37115,3
37079,3
37147,3
42101,0
42049,0
42091,0
42079,0
42095,0
42043,0
42071,0
42013,0
42035,0
42055,0
42067,0
44007,3
42051,0
44009,3
55061,2
55011,3
48213,3
48037,3
48331,3
48315,3
48081,1
48475,3
48163,3
48313,3
48083,2
48289,3
48005,3
40143,3
40089,3
40113,3
40087,3
40141,2
40095,3
40077,2
40055,2
40151,2
41047,0
41057,0
41065,0
41043,0
41021,0
41063,0
41017,0
1119,3
5039,3
5013,2
5081,3
5029,3
16087,3
5003,3
5103,3
5019,3
5073,2
5063,3
5147,2
5093,3
6003,1
5091,3
5095,3
5017,3
16081,2
48477,3
48075,2
48487,3
48333,1
48411,2
48419,3
48105,1
48051,3
55111,3
55003,2
55023,3
55037,1
55051,2
30093,0
30037,0
30083,0
30059,0
30047,0
