month_of_payment,county_geoid_coalesced,county_monthly_spending,county_all_spending,pct_county_all_spending_monthly,national_monthly_spending,national_all_spending,pct_national_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses
03/01/2021,02150,53705.34,4694110.54,1.1441004540127424,117596574.05,20642637756.227936,0.5696780393994019,4694110.54,402
04/01/2021,02150,872606.29,4694110.54,18.589385200119295,268448350.152,20642637756.227936,1.300455655532726,4694110.54,402
05/01/2021,02150,327640.59,4694110.54,6.97982263536555,438559731,20642637756.227936,2.1245333865711298,4694110.54,402
06/01/2021,02150,51349.84,4694110.54,1.0939205534772087,799066761.2060927,20642637756.227936,3.870952785406566,4694110.54,402
07/01/2021,02150,626215.35,4694110.54,13.340447453544627,890172248.086006,20642637756.227936,4.312298934846342,4694110.54,402
08/01/2021,02150,292620.27,4694110.54,6.233774588529396,1316326530.2199848,20642637756.227936,6.3767360826881045,4694110.54,402
09/01/2021,02150,164524.98,4694110.54,3.5049234268778,1716158781.0419526,20642637756.227936,8.313660304987831,4694110.54,402
10/01/2021,02150,574408.41,4694110.54,12.236789166025904,1785562901.5214994,20642637756.227936,8.649877610640097,4694110.54,402
11/01/2021,02150,349901.66,4694110.54,7.454056674174528,1679931642.053242,20642637756.227936,8.138163648908689,4694110.54,402
12/01/2021,02150,200426.23,4694110.54,4.269738181325402,1391664330.382005,20642637756.227936,6.741698162882001,4694110.54,402
01/01/2022,02150,420919.32,4694110.54,8.966966508632751,1209292172.6716359,20642637756.227936,5.8582250337982575,4694110.54,402
02/01/2022,02150,170044.65,4694110.54,3.6225105597960625,1048882637.438392,20642637756.227936,5.081146362324464,4694110.54,402
03/01/2022,02150,67082.38,4694110.54,1.4290754218156951,1428847105.19931,20642637756.227936,6.921824245877799,4694110.54,402
04/01/2022,02150,46681.86,4694110.54,0.9944772199591192,1039238877.2895434,20642637756.227936,5.034428688630175,4694110.54,402
05/01/2022,02150,40933.73,4694110.54,0.8720231373162338,1003392614.37477,20642637756.227936,4.860777126566802,4694110.54,402
06/01/2022,02150,36579.75,4694110.54,0.7792690369835219,1018398826.24,20642637756.227936,4.933472351094019,4694110.54,402
07/01/2022,02150,34470.18,4694110.54,0.7343282546558862,655729242.651,20642637756.227936,3.1765768037719155,4694110.54,402
08/01/2022,02150,38276.79,4694110.54,0.8154215729227374,658114758.1877,20642637756.227936,3.1881330572162234,4694110.54,402
09/01/2022,02150,41163.78,4694110.54,0.876923959272591,567987737.438,20642637756.227936,2.751526932485344,4694110.54,402
10/01/2022,02150,51456.62,4694110.54,1.0961953188260454,394730679.33925,20642637756.227936,1.912210464576693,4694110.54,402
11/01/2022,02150,47030.22,4694110.54,1.0018984342026167,364129026.824,20642637756.227936,1.7639655896889503,4694110.54,402
12/01/2022,02150,51730.18,4694110.54,1.102023046947676,322530920.83,20642637756.227936,1.5624501318039725,4694110.54,402
01/01/2023,02150,37777.11,4694110.54,0.8047767447760189,209487105.91,20642637756.227936,1.0148272153194047,4694110.54,402
02/01/2023,02150,61784.67,4694110.54,1.316216767234459,146667564.285,20642637756.227936,0.7105078624980958,4694110.54,402
03/01/2023,02150,34780.340000000004,4694110.54,0.7409356832061309,128008839.2065522,20642637756.227936,0.6201186142886783,4694110.54,402
