month_of_payment,total_assistance,pct
01/01/2021,14439455.62,0.06994966336433231
02/01/2021,29272343.01,0.14180524483199086
03/01/2021,117596574.05,0.569678039399402
04/01/2021,268448350.152,1.3004556555327262
05/01/2021,438559731.0,2.12453338657113
06/01/2021,799066761.2060927,3.8709527854065664
07/01/2021,890172248.086006,4.312298934846343
08/01/2021,1316326530.2199848,6.3767360826881045
09/01/2021,1716158781.0419526,8.313660304987833
10/01/2021,1785562901.5214994,8.649877610640099
11/01/2021,1679931642.053242,8.13816364890869
12/01/2021,1391664330.382005,6.7416981628820025
01/01/2022,1209292172.671636,5.858225033798259
02/01/2022,1048882637.438392,5.081146362324464
03/01/2022,1428847105.19931,6.9218242458778
04/01/2022,1039238877.2895434,5.034428688630175
05/01/2022,1003392614.37477,4.860777126566803
06/01/2022,1018398826.24,4.93347235109402
07/01/2022,655729242.651,3.176576803771916
08/01/2022,658114758.1877,3.1881330572162234
09/01/2022,567987737.438,2.7515269324853446
10/01/2022,394730679.33925,1.9122104645766933
11/01/2022,364129026.824,1.7639655896889508
12/01/2022,322530920.83,1.562450131803973
01/01/2023,209487105.91,1.014827215319405
02/01/2023,146667564.285,0.7105078624980959
03/01/2023,128008839.2065522,0.6201186142886784
