month_of_payment,county_geoid_coalesced,county_monthly_spending,county_all_spending,pct_county_all_spending_monthly,national_monthly_spending,national_all_spending,pct_national_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses
03/01/2021,55097,374469,4743179.19,7.8948946476550885,125559394.08,21197065722.867935,0.5923432786479655,4743179.19,841
04/01/2021,55097,232511.6,4743179.19,4.9020201574969375,276077860.772,21197065722.867935,1.3024343292673768,4743179.19,841
05/01/2021,55097,199989,4743179.19,4.216349245704968,451597968.81,21197065722.867935,2.130473975569197,4743179.19,841
06/01/2021,55097,197833,4743179.19,4.170894500825299,821917544.2860926,21197065722.867935,3.8775062314374344,4743179.19,841
07/01/2021,55097,163611,4743179.19,3.4493952989366186,919028978.94600606,21197065722.867935,4.335642446749288,4743179.19,841
08/01/2021,55097,242117.86,4743179.19,5.104548032055267,1346425191.6199846,21197065722.867935,6.351941392375959,4743179.19,841
09/01/2021,55097,262987,4743179.19,5.544530144559012,1738685511.0719526,21197065722.867935,8.202482050127411,4743179.19,841
10/01/2021,55097,91439,4743179.19,1.9277998223803134,1810410675.9914992,21197065722.867935,8.540855133729108,4743179.19,841
11/01/2021,55097,116890,4743179.19,2.464380857599436,1715101362.313242,21197065722.867935,8.091220665806338,4743179.19,841
12/01/2021,55097,240342,4743179.19,5.067107742981981,1428392138.932005,21197065722.867935,6.738631457801346,4743179.19,841
01/01/2022,55097,204111.34,4743179.19,4.303260151552486,1235935177.5116358,21197065722.867935,5.830689934495402,4743179.19,841
02/01/2022,55097,204147,4743179.19,4.304011967972898,1071845474.048392,21197065722.867935,5.056574754552267,4743179.19,841
03/01/2022,55097,216014.39,4743179.19,4.554211033296425,1454085337.17931,21197065722.867935,6.859842565901024,4743179.19,841
04/01/2022,55097,208471,4743179.19,4.395174452601695,1061958283.3195434,21197065722.867935,5.00993060645123,4743179.19,841
05/01/2022,55097,187856,4743179.19,3.9605503497749996,1032730727.04477,21197065722.867935,4.872045690411922,4743179.19,841
06/01/2022,55097,242513,4743179.19,5.112878731448474,1046499816.77,21197065722.867935,4.937003217577465,4743179.19,841
07/01/2022,55097,123391,4743179.19,2.6014408281294554,683729020.261,21197065722.867935,3.225583338751343,4743179.19,841
08/01/2022,55097,200575,4743179.19,4.228703828496936,687327145.4277,21197065722.867935,3.24255797672125,4743179.19,841
09/01/2022,55097,169620,4743179.19,3.5760824798187727,596175594.728,21197065722.867935,2.812538313191295,4743179.19,841
10/01/2022,55097,121063,4743179.19,2.552359823454192,412969163.38925,21197065722.867935,1.9482374060091172,4743179.19,841
11/01/2022,55097,171179,4743179.19,3.6089507299427996,374020701.114,21197065722.867935,1.7644928123730679,4743179.19,841
12/01/2022,55097,149219,4743179.19,3.1459701188307836,336562738.9,21197065722.867935,1.58777985264681,4743179.19,841
01/01/2023,55097,171697,4743179.19,3.619871675141162,224255664.7,21197065722.867935,1.0579561701224867,4743179.19,841
02/01/2023,55097,176635,4743179.19,3.7239790639240002,161559363.335,21197065722.867935,0.7621779610783848,4743179.19,841
03/01/2023,55097,74498,4743179.19,1.5706343154199915,138818190.1265522,21197065722.867935,0.6548934269557488,4743179.19,841
