month_of_payment,county_geoid_coalesced,county_monthly_spending,county_all_spending,pct_county_all_spending_monthly,national_monthly_spending,national_all_spending,pct_national_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses
03/01/2021,02150,53705.34,4694110.54,1.1441004540127424,125559394.08,21197065722.867935,0.5923432786479655,4694110.54,338
04/01/2021,02150,872606.29,4694110.54,18.589385200119295,276077860.772,21197065722.867935,1.3024343292673768,4694110.54,338
05/01/2021,02150,327640.59,4694110.54,6.97982263536555,451597968.81,21197065722.867935,2.130473975569197,4694110.54,338
06/01/2021,02150,51349.84,4694110.54,1.0939205534772087,821917544.2860926,21197065722.867935,3.8775062314374344,4694110.54,338
07/01/2021,02150,626215.35,4694110.54,13.340447453544627,919028978.94600606,21197065722.867935,4.335642446749288,4694110.54,338
08/01/2021,02150,292620.27,4694110.54,6.233774588529396,1346425191.6199846,21197065722.867935,6.351941392375959,4694110.54,338
09/01/2021,02150,164524.98,4694110.54,3.5049234268778,1738685511.0719526,21197065722.867935,8.202482050127411,4694110.54,338
10/01/2021,02150,574408.41,4694110.54,12.236789166025904,1810410675.9914992,21197065722.867935,8.540855133729108,4694110.54,338
11/01/2021,02150,349901.66,4694110.54,7.454056674174528,1715101362.313242,21197065722.867935,8.091220665806338,4694110.54,338
12/01/2021,02150,200426.23,4694110.54,4.269738181325402,1428392138.932005,21197065722.867935,6.738631457801346,4694110.54,338
01/01/2022,02150,420919.32,4694110.54,8.966966508632751,1235935177.5116358,21197065722.867935,5.830689934495402,4694110.54,338
02/01/2022,02150,170044.65,4694110.54,3.6225105597960625,1071845474.048392,21197065722.867935,5.056574754552267,4694110.54,338
03/01/2022,02150,67082.38,4694110.54,1.4290754218156951,1454085337.17931,21197065722.867935,6.859842565901024,4694110.54,338
04/01/2022,02150,46681.86,4694110.54,0.9944772199591192,1061958283.3195434,21197065722.867935,5.00993060645123,4694110.54,338
05/01/2022,02150,40933.73,4694110.54,0.8720231373162338,1032730727.04477,21197065722.867935,4.872045690411922,4694110.54,338
06/01/2022,02150,36579.75,4694110.54,0.7792690369835219,1046499816.77,21197065722.867935,4.937003217577465,4694110.54,338
07/01/2022,02150,34470.18,4694110.54,0.7343282546558862,683729020.261,21197065722.867935,3.225583338751343,4694110.54,338
08/01/2022,02150,38276.79,4694110.54,0.8154215729227374,687327145.4277,21197065722.867935,3.24255797672125,4694110.54,338
09/01/2022,02150,41163.78,4694110.54,0.876923959272591,596175594.728,21197065722.867935,2.812538313191295,4694110.54,338
10/01/2022,02150,51456.62,4694110.54,1.0961953188260454,412969163.38925,21197065722.867935,1.9482374060091172,4694110.54,338
11/01/2022,02150,47030.22,4694110.54,1.0018984342026167,374020701.114,21197065722.867935,1.7644928123730679,4694110.54,338
12/01/2022,02150,51730.18,4694110.54,1.102023046947676,336562738.9,21197065722.867935,1.58777985264681,4694110.54,338
01/01/2023,02150,37777.11,4694110.54,0.8047767447760189,224255664.7,21197065722.867935,1.0579561701224867,4694110.54,338
02/01/2023,02150,61784.67,4694110.54,1.316216767234459,161559363.335,21197065722.867935,0.7621779610783848,4694110.54,338
03/01/2023,02150,34780.340000000004,4694110.54,0.7409356832061309,138818190.1265522,21197065722.867935,0.6548934269557488,4694110.54,338
