GEOID,group
1001,2
1003,0
1005,2
1007,2
1009,2
1011,2
1013,2
1015,2
1017,2
1019,2
1021,2
1023,2
1025,2
1027,2
1029,2
1031,2
1033,2
1035,2
1037,2
1039,2
1041,2
1043,2
1045,2
1047,2
1049,2
1051,2
1053,2
1055,2
1057,2
1059,2
1061,2
1063,2
1065,2
1067,2
1069,2
1071,2
1073,0
1075,2
1077,2
1079,2
1081,2
1083,2
1085,2
1087,2
1089,0
1091,2
1093,2
1095,2
1097,2
1099,2
1101,2
1103,2
1105,2
1107,2
1109,2
1111,2
1113,2
1115,2
1117,2
1119,2
1121,2
1123,2
1125,0
1127,2
1129,2
1131,2
1133,2
2013,2
2016,2
2020,2
2050,2
2060,2
2063,2
2066,2
2068,2
2070,2
2090,2
2100,2
2105,2
2110,2
2122,2
2130,2
2150,2
2158,2
2164,2
2170,2
2180,2
2185,2
2188,2
2195,2
2198,2
2220,2
2230,2
2240,2
2275,2
2282,2
2290,2
4001,0
4003,0
4005,0
4007,0
4009,0
4011,0
4012,0
4013,0
4015,0
4017,0
4019,0
4021,0
4023,0
4025,0
4027,0
5001,2
5003,2
5005,2
5007,0
5009,2
5011,2
5013,2
5015,2
5017,2
5019,2
5021,2
5023,2
5025,2
5027,2
5029,2
5031,2
5033,2
5035,2
5037,2
5039,2
5041,2
5043,2
5045,2
5047,2
5049,2
5051,2
5053,2
5055,2
5057,2
5059,2
5061,2
5063,2
5065,2
5067,2
5069,2
5071,2
5073,2
5075,2
5077,2
5079,2
5081,2
5083,2
5085,2
5087,2
5089,2
5091,2
5093,2
5095,2
5097,2
5099,2
5101,2
5103,2
5105,2
5107,2
5109,2
5111,2
5113,2
5115,2
5117,2
5119,0
5121,2
5123,2
5125,2
5127,2
5129,2
5131,2
5133,2
5135,2
5137,2
5139,2
5141,2
5143,2
5145,2
5147,2
5149,2
6001,2
6003,2
6005,2
6007,2
6009,2
6011,2
6013,2
6015,2
6017,2
6019,2
6021,2
6023,2
6025,2
6027,2
6029,2
6031,2
6033,2
6035,2
6037,2
6039,2
6041,2
6043,2
6045,2
6047,2
6049,2
6051,2
6053,1
6055,2
6057,2
6059,1
6061,0
6063,2
6065,0
6067,1
6069,2
6071,2
6073,2
6075,2
6077,2
6079,2
6081,2
6083,2
6085,2
6087,2
6089,2
6091,2
6093,2
6095,2
6097,0
6099,2
6101,2
6103,2
6105,2
6107,2
6109,2
6111,2
6113,2
6115,2
8001,0
8003,0
8005,0
8007,0
8009,0
8011,0
8013,0
8014,0
8015,0
8017,0
8019,0
8021,0
8023,0
8025,0
8027,0
8029,0
8031,0
8033,0
8035,0
8037,0
8039,0
8041,0
8043,0
8045,0
8047,0
8049,0
8051,0
8053,0
8055,0
8057,0
8059,0
8061,0
8063,0
8065,0
8067,0
8069,0
8071,0
8073,0
8075,0
8077,0
8079,0
8081,0
8083,0
8085,0
8087,0
8089,0
8091,0
8093,0
8095,0
8097,0
8099,0
8101,0
8103,0
8105,0
8107,0
8109,0
8111,0
8113,0
8115,0
8117,0
8119,0
8121,0
8123,0
8125,0
9001,2
9003,2
9005,2
9007,2
9009,2
9011,2
9013,2
9015,2
10001,0
10003,0
10005,0
11001,2
12001,2
12003,2
12005,2
12007,2
12009,0
12011,2
12013,2
12015,2
12017,2
12019,0
12021,0
12023,2
12027,2
12029,2
12031,2
12033,2
12035,2
12037,2
12039,2
12041,2
12043,2
12045,2
12047,2
12049,2
12051,2
12053,2
12055,2
12057,2
12059,2
12061,2
12063,2
12065,2
12067,2
12069,2
12071,2
12073,2
12075,2
12077,2
12079,2
12081,2
12083,2
12085,2
12086,2
12087,2
12089,2
12091,2
12093,2
12095,0
12097,2
12099,2
12101,0
12103,2
12105,2
12107,2
12109,0
12111,2
12113,2
12115,2
12117,2
12119,2
12121,2
12123,2
12125,2
12127,2
12129,2
12131,2
12133,2
13001,2
13003,2
13005,2
13007,2
13009,2
13011,2
13013,2
13015,2
13017,2
13019,2
13021,2
13023,2
13025,2
13027,2
13029,2
13031,2
13033,2
13035,2
13037,2
13039,2
13043,2
13045,2
13047,2
13049,2
13051,2
13053,2
13055,2
13057,2
13059,2
13061,2
13063,0
13065,2
13067,2
13069,2
13071,2
13073,2
13075,2
13077,2
13079,2
13081,2
13083,2
13085,2
13087,2
13089,0
13091,2
13093,2
13095,2
13097,2
13099,2
13101,2
13103,2
13105,2
13107,2
13109,2
13111,2
13113,2
13115,2
13117,0
13119,2
13121,2
13123,2
13125,2
13127,2
13129,2
13131,2
13133,2
13135,2
13137,2
13139,2
13141,2
13143,2
13145,2
13147,2
13149,2
13151,2
13153,2
13155,2
13157,2
13159,2
13161,2
13163,2
13165,2
13167,2
13169,2
13171,2
13173,2
13175,2
13177,2
13179,2
13181,2
13183,2
13185,2
13187,2
13189,2
13191,2
13193,2
13195,2
13197,2
13199,2
13201,2
13205,2
13207,2
13209,2
13211,2
13213,2
13215,2
13217,2
13219,2
13221,2
13223,2
13225,2
13227,2
13229,2
13231,2
13233,2
13235,2
13237,2
13239,2
13241,2
13243,2
13245,0
13247,2
13249,2
13251,2
13253,2
13255,2
13257,2
13259,2
13261,2
13263,2
13265,2
13267,2
13269,2
13271,2
13273,2
13275,2
13277,2
13279,2
13281,2
13283,2
13285,2
13287,2
13289,2
13291,2
13293,2
13295,2
13297,2
13299,2
13301,2
13303,2
13305,2
13307,2
13309,2
13311,2
13313,2
13315,2
13317,2
13319,2
13321,2
15001,0
15003,2
15005,0
15007,2
15009,2
16001,0
16003,2
16005,2
16007,2
16009,2
16011,2
16013,2
16015,2
16017,2
16019,2
16021,2
16023,2
16025,2
16027,2
16029,2
16031,2
16033,0
16035,2
16037,2
16039,2
16041,2
16043,2
16045,2
16047,2
16049,2
16051,2
16053,2
16055,2
16057,2
16059,2
16061,2
16063,2
16065,2
16067,2
16069,2
16071,2
16073,2
16075,2
16077,2
16079,2
16081,2
16083,2
16085,2
16087,2
17001,2
17003,2
17005,2
17007,2
17009,2
17011,2
17013,0
17015,2
17017,2
17019,0
17021,2
17023,2
17025,2
17027,2
17029,2
17031,0
17033,2
17035,2
17037,2
17039,2
17041,2
17043,0
17045,2
17047,2
17049,2
17051,2
17053,2
17055,2
17057,2
17059,2
17061,2
17063,2
17065,2
17067,2
17069,0
17071,2
17073,2
17075,2
17077,2
17079,2
17081,2
17083,2
17085,2
17087,2
17089,0
17091,2
17093,2
17095,2
17097,2
17099,2
17101,2
17103,2
17105,2
17107,2
17109,2
17111,2
17113,2
17115,2
17117,2
17119,0
17121,2
17123,2
17125,2
17127,2
17129,2
17131,2
17133,2
17135,2
17137,2
17139,2
17141,2
17143,2
17145,2
17147,2
17149,2
17151,2
17153,2
17155,2
17157,2
17159,2
17161,2
17163,2
17165,2
17167,2
17169,2
17171,2
17173,2
17175,2
17177,2
17179,2
17181,2
17183,2
17185,2
17187,2
17189,2
17191,2
17193,2
17195,2
17197,2
17199,2
17201,2
17203,2
18001,0
18003,0
18005,0
18007,0
18009,0
18011,0
18013,0
18015,0
18017,0
18019,0
18021,0
18023,0
18025,0
18027,0
18029,0
18031,0
18033,0
18035,0
18037,0
18039,0
18041,0
18043,0
18045,0
18047,0
18049,0
18051,0
18053,0
18055,0
18057,0
18059,0
18061,0
18063,0
18065,0
18067,0
18069,0
18071,0
18073,0
18075,0
18077,0
18079,0
18081,0
18083,0
18085,0
18087,0
18089,0
18091,0
18093,0
18095,0
18097,0
18099,0
18101,0
18103,0
18105,0
18107,0
18109,0
18111,0
18113,0
18115,0
18117,0
18119,0
18121,0
18123,0
18125,0
18127,0
18129,0
18131,0
18133,0
18135,0
18137,0
18139,0
18141,0
18143,0
18145,0
18147,0
18149,0
18151,0
18153,0
18155,0
18157,0
18159,0
18161,0
18163,0
18165,0
18167,0
18169,0
18171,0
18173,0
18175,0
18177,0
18179,0
18181,0
18183,0
19001,0
19003,0
19005,0
19007,0
19009,0
19011,0
19013,0
19015,0
19017,0
19019,0
19021,0
19023,0
19025,0
19027,0
19029,0
19031,0
19033,0
19035,0
19037,0
19039,0
19041,0
19043,0
19045,0
19047,0
19049,0
19051,0
19053,0
19055,0
19057,0
19059,0
19061,0
19063,0
19065,0
19067,0
19069,0
19071,0
19073,0
19075,0
19077,0
19079,0
19081,0
19083,0
19085,0
19087,0
19089,0
19091,0
19093,0
19095,0
19097,0
19099,0
19101,0
19103,0
19105,0
19107,0
19109,0
19111,0
19113,0
19115,0
19117,0
19119,0
19121,0
19123,0
19125,0
19127,0
19129,0
19131,0
19133,0
19135,0
19137,0
19139,0
19141,0
19143,0
19145,0
19147,0
19149,0
19151,0
19153,0
19155,0
19157,0
19159,0
19161,0
19163,0
19165,0
19167,0
19169,0
19171,0
19173,0
19175,0
19177,0
19179,0
19181,0
19183,0
19185,0
19187,0
19189,0
19191,0
19193,0
19195,0
19197,0
20001,2
20003,2
20005,2
20007,2
20009,2
20011,2
20013,2
20015,2
20017,2
20019,2
20021,2
20023,2
20025,2
20027,2
20029,2
20031,2
20033,2
20035,2
20037,2
20039,2
20041,2
20043,2
20045,2
20047,2
20049,2
20051,2
20053,2
20055,2
20057,2
20059,2
20061,2
20063,2
20065,2
20067,2
20069,2
20071,2
20073,2
20075,2
20077,2
20079,2
20081,2
20083,2
20085,2
20087,2
20089,2
20091,2
20093,2
20095,2
20097,2
20099,2
20101,2
20103,2
20105,2
20107,2
20109,2
20111,2
20113,2
20115,2
20117,2
20119,2
20121,2
20123,2
20125,2
20127,2
20129,2
20131,2
20133,2
20135,2
20137,2
20139,2
20141,2
20143,2
20145,2
20147,2
20149,2
20151,2
20153,2
20155,2
20157,2
20159,2
20161,2
20163,2
20165,2
20167,2
20169,2
20171,2
20173,0
20175,2
20177,2
20179,2
20181,2
20183,2
20185,2
20187,0
20189,2
20191,2
20193,2
20195,2
20197,2
