month_of_payment,county_geoid_coalesced,county_monthly_spending,pct_county_all_spending_monthly,national_monthly_spending,national_all_spending,pct_national_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses
01/01/2021,11001,3274851.97,0.9922007616213057,14439455.620000001,20642637756.227936,0.06994966336433231,330596646.1,109087
01/01/2021,25001,170999.73,2.3698483896245675,14439455.620000001,20642637756.227936,0.06994966336433231,7227036.94,814
01/01/2021,25003,25433,0.3124014156917326,14439455.620000001,20642637756.227936,0.06994966336433231,8186576.51,1220
01/01/2021,25005,315639.46,0.7380243630830843,14439455.620000001,20642637756.227936,0.06994966336433231,42773314.74,5307
01/01/2021,25009,1353664.2,0.9568841957572162,14439455.620000001,20642637756.227936,0.06994966336433231,141466810.63,11885
01/01/2021,25013,782336.77,0.7917335047044345,14439455.620000001,20642637756.227936,0.06994966336433231,98843041.64,12405
01/01/2021,25015,49426.53,0.5957737203736821,14439455.620000001,20642637756.227936,0.06994966336433231,8302425.39,1099
01/01/2021,25017,1119262.73,0.9910987239781425,14439455.620000001,20642637756.227936,0.06994966336433231,112985840.83,10053
01/01/2021,25021,285479.57,0.5797730860742835,14439455.620000001,20642637756.227936,0.06994966336433231,49272570.68,4293
01/01/2021,25023,304349.02,0.7879723547691483,14439455.620000001,20642637756.227936,0.06994966336433231,38637102.13,3375
01/01/2021,25027,678961.59,0.901076206239489,14439455.620000001,20642637756.227936,0.06994966336433231,75395517.2,8966
01/01/2021,37001,198761.72,0.7726762980234383,14439455.620000001,20642637756.227936,0.06994966336433231,25838823.71,4563
01/01/2021,37003,35866.81,2.4832191597113495,14439455.620000001,20642637756.227936,0.06994966336433231,1562088.64,287
01/01/2021,37007,44654.3,0.4580688331597163,14439455.620000001,20642637756.227936,0.06994966336433231,9866132.68,1334
01/01/2021,37013,13882.56,0.21328778461082704,14439455.620000001,20642637756.227936,0.06994966336433231,6611215.44,1578
01/01/2021,37015,18951.61,0.16643160908874532,14439455.620000001,20642637756.227936,0.06994966336433231,11512608.14,1633
01/01/2021,37017,24501.9,0.1724996400387686,14439455.620000001,20642637756.227936,0.06994966336433231,14348711.19,1839
01/01/2021,37019,34722.06,0.4597168886851655,14439455.620000001,20642637756.227936,0.06994966336433231,7690394.41,1163
01/01/2021,37021,148943.42,0.819019522432203,14439455.620000001,20642637756.227936,0.06994966336433231,18185576.28,3015
01/01/2021,37023,7596.32,0.16437286310214558,14439455.620000001,20642637756.227936,0.06994966336433231,4738153.41,881
01/01/2021,37025,108758.25,0.7532120248442244,14439455.620000001,20642637756.227936,0.06994966336433231,14448620.98,2060
01/01/2021,37027,86440.97,1.809809947989464,14439455.620000001,20642637756.227936,0.06994966336433231,4899572.03,1004
01/01/2021,37031,14674.37,0.4471439344958515,14439455.620000001,20642637756.227936,0.06994966336433231,3415678.96,550
01/01/2021,37033,16241.17,1.5009985126120862,14439455.620000001,20642637756.227936,0.06994966336433231,1224254.29,283
01/01/2021,37035,186625.1,2.281461078358428,14439455.620000001,20642637756.227936,0.06994966336433231,8301998.55,1707
01/01/2021,37037,40645.96,1.3914145182660151,14439455.620000001,20642637756.227936,0.06994966336433231,3001932.73,528
01/01/2021,37045,86991.27,0.6959511482163475,14439455.620000001,20642637756.227936,0.06994966336433231,12572959.68,2491
01/01/2021,37047,55806.47,0.39367481429721934,14439455.620000001,20642637756.227936,0.06994966336433231,14274899.65,2159
01/01/2021,37049,51062.45,0.3081432509032257,14439455.620000001,20642637756.227936,0.06994966336433231,16699232.42,2723
01/01/2021,37053,28068.72,3.1022710908875024,14439455.620000001,20642637756.227936,0.06994966336433231,1003294.74,166
01/01/2021,37055,11458.61,1.6953657414829164,14439455.620000001,20642637756.227936,0.06994966336433231,821138.78,128
01/01/2021,37057,104212.44,0.9614988149151806,14439455.620000001,20642637756.227936,0.06994966336433231,10875547.69,2656
01/01/2021,37059,9431.67,0.5153243436613293,14439455.620000001,20642637756.227936,0.06994966336433231,1882091.38,343
01/01/2021,37061,32638.06,0.47796682150744235,14439455.620000001,20642637756.227936,0.06994966336433231,6934479.94,1236
01/01/2021,37065,21250.33,0.06829088333930917,14439455.620000001,20642637756.227936,0.06994966336433231,31260378.78,5036
01/01/2021,37067,544821.38,1.1527470472822146,14439455.620000001,20642637756.227936,0.06994966336433231,47359007.21,7820
01/01/2021,37069,41667.75,0.7211638586989566,14439455.620000001,20642637756.227936,0.06994966336433231,5903076.75,891
01/01/2021,37077,49267.79,0.7667229778653892,14439455.620000001,20642637756.227936,0.06994966336433231,6541642.85,1174
01/01/2021,37079,6650.66,0.1332700759390513,14439455.620000001,20642637756.227936,0.06994966336433231,5077212.9,856
01/01/2021,37081,736919.52,1.2580571758977976,14439455.620000001,20642637756.227936,0.06994966336433231,58618323.208,13063
01/01/2021,37083,149021.98,0.5014339096478304,14439455.620000001,20642637756.227936,0.06994966336433231,29813511.26,4599
01/01/2021,37085,188629.43,1.5163008635178243,14439455.620000001,20642637756.227936,0.06994966336433231,12543135.73,2142
01/01/2021,37087,29444.95,1.5546714296804394,14439455.620000001,20642637756.227936,0.06994966336433231,1967450.69,373
01/01/2021,37089,40638.3,0.9311666988540589,14439455.620000001,20642637756.227936,0.06994966336433231,4535383.19,665
01/01/2021,37091,38786.81,0.27389037228207436,14439455.620000001,20642637756.227936,0.06994966336433231,14270997.73,2043
01/01/2021,37093,74848.77,0.514844857193113,14439455.620000001,20642637756.227936,0.06994966336433231,14703080.97,2080
01/01/2021,37097,62572.63,0.45620344380073696,14439455.620000001,20642637756.227936,0.06994966336433231,13899310.56,2592
01/01/2021,37099,13051.21,1.0015433925947252,14439455.620000001,20642637756.227936,0.06994966336433231,1411948.38,294
01/01/2021,37101,301688.41,3.1381823055696056,14439455.620000001,20642637756.227936,0.06994966336433231,9624445.27,1738
01/01/2021,37103,12824.53,1.0096968143712908,14439455.620000001,20642637756.227936,0.06994966336433231,1372162.52,233
01/01/2021,37105,107402.18,1.588260812857189,14439455.620000001,20642637756.227936,0.06994966336433231,6845762.47,1231
01/01/2021,37107,39325.32,0.2266371391124255,14439455.620000001,20642637756.227936,0.06994966336433231,17391014.74,3411
01/01/2021,37109,16332.17,0.5485071563536589,14439455.620000001,20642637756.227936,0.06994966336433231,3131371.48,603
01/01/2021,37113,9597.35,1.078369199384171,14439455.620000001,20642637756.227936,0.06994966336433231,943071.85,191
01/01/2021,37117,92141.86,1.4803455267498458,14439455.620000001,20642637756.227936,0.06994966336433231,6291487.88,1261
01/01/2021,37121,7912.58,5.383627094396872,14439455.620000001,20642637756.227936,0.06994966336433231,231535.54,78
01/01/2021,37123,35603.47,1.181417865294332,14439455.620000001,20642637756.227936,0.06994966336433231,3192151.34,513
01/01/2021,37125,71651.52,1.2232251511034278,14439455.620000001,20642637756.227936,0.06994966336433231,5948189.18,986
01/01/2021,37127,63263.06,0.17482147736951512,14439455.620000001,20642637756.227936,0.06994966336433231,36299500.63,6171
01/01/2021,37129,235925.64,0.8447185422477468,14439455.620000001,20642637756.227936,0.06994966336433231,27973339.84,4487
01/01/2021,37131,31515.79,0.32348955496578413,14439455.620000001,20642637756.227936,0.06994966336433231,9828281.3,1519
01/01/2021,37133,53615.8,0.2815227164350055,14439455.620000001,20642637756.227936,0.06994966336433231,19162303.45,3504
01/01/2021,37135,95516.36,0.7608136151682443,14439455.620000001,20642637756.227936,0.06994966336433231,12599600.93,1917
01/01/2021,37139,22383.87,0.4458037332726433,14439455.620000001,20642637756.227936,0.06994966336433231,5155127.15,967
01/01/2021,37141,31815.57,0.8805380060296081,14439455.620000001,20642637756.227936,0.06994966336433231,3767277.56,597
01/01/2021,37145,22572.73,0.7259744885660336,14439455.620000001,20642637756.227936,0.06994966336433231,3187066.18,709
01/01/2021,37147,43527.98,0.06434880844323979,14439455.620000001,20642637756.227936,0.06994966336433231,67710944.11,12761
01/01/2021,37151,129532.67,1.646682355646633,14439455.620000001,20642637756.227936,0.06994966336433231,7921914.53,1586
01/01/2021,37153,103950.88,0.8403849311987047,14439455.620000001,20642637756.227936,0.06994966336433231,12508834.43,2008
01/01/2021,37155,95457.28,0.20263027600015995,14439455.620000001,20642637756.227936,0.06994966336433231,47257260.48,6774
01/01/2021,37157,91586.11,1.028706664900662,14439455.620000001,20642637756.227936,0.06994966336433231,8958608.48,2001
01/01/2021,37159,161940.26,1.1753617304190804,14439455.620000001,20642637756.227936,0.06994966336433231,14059850.04,2678
01/01/2021,37161,79852.61,1.3022821403625313,14439455.620000001,20642637756.227936,0.06994966336433231,6212558.61,1226
01/01/2021,37163,36102,0.46489436158368275,14439455.620000001,20642637756.227936,0.06994966336433231,7844577.13,1349
01/01/2021,37165,33785.82,0.3861111899434863,14439455.620000001,20642637756.227936,0.06994966336433231,8941771.86,1511
