"","year","site","filings","avg_filings","renter_hh","filings_gap","percentage_of_historical"
"2","2020","all_sites excl newyork",477707,931928.541666667,12443515,454221.541666667,0.512600460916956
"3","2021","all_sites excl newyork",521031,931425.991666667,12443515,410394.991666667,0.559390659764263
"4","2022","all_sites excl newyork",889193,931425.158333333,12443515,42232.1583333332,0.954658559568111
"5","2023","all_sites excl newyork",979453,931420.575,12443515,0,1.05156899717402
"6","2024","all_sites excl newyork",958542,931925.708333333,12443515,0,1.02856052948069
