site,filings,top100
Atlanta,22711,0.158
Houston,12371,0.16
Philadelphia,2819,0.212
Dallas,10436,0.218
Portland,3103,0.221
Tampa,3806,0.221
Southwest,722,0.244
Cincinnati,3181,0.252
Columbus,6332,0.259
Kansascity,2699,0.262
Stlouis,4690,0.273
Bridgeport,1013,0.297
Indianapolis,8210,0.332
Jacksonville,5304,0.363
Memphis,8208,0.37
Tacoma,1337,0.384
Eugene,1050,0.411
Albuquerque,3870,0.496
Southbend,1555,0.543
