"","site","efr_2023","efr_2024","avg_efr","avg_efr_pct","efr_2024_pct","diff"
"1","Albuquerque",0.0963966922410962,0.0878984187638694,0.108493961316602,10.8493961316602,8.78984187638694,-2.05955425527328
"2","Austin",0.032445329396821,0.0445501047066497,0.0316528774302814,3.16528774302814,4.45501047066497,1.28972272763683
"3","Bridgeport",0.0379605602373486,0.0346978623411971,0.0338413337052471,3.38413337052471,3.46978623411971,0.0856528635949965
"4","Charleston",0.155788992920758,0.157615894039735,0.227114257440816,22.7114257440816,15.7615894039735,-6.94983634010809
"5","Cincinnati",0.0846375277106839,0.0908844257684545,0.0846931145154353,8.46931145154353,9.08844257684545,0.619131125301923
"6","Cleveland",0.0679925704864662,0.0609595759333848,0.086926351816683,8.6926351816683,6.09595759333848,-2.59667758832982
"7","Columbus",0.0864632380231568,0.0935660172766372,0.0666601169726829,6.66601169726829,9.35660172766372,2.69059003039543
"8","Dallas",0.076859946259438,0.0739135368665929,0.0817848134953926,8.17848134953926,7.39135368665929,-0.787127662879972
"9","Fort Lauderdale",0.0678127112296534,0.0509691444856501,0.0447103527649391,4.47103527649391,5.09691444856501,0.625879172071101
"10","Fort Worth",0.100177206416049,0.1029693517907,0.0818462598111978,8.18462598111978,10.29693517907,2.11230919795025
"11","Gainesville",0.0438892389813545,0.0438892389813545,0.0302757904881936,3.02757904881936,4.38892389813545,1.36134484931608
"12","Greenville",0.208343120863329,0.202194249077669,0.200159594312639,20.0159594312639,20.2194249077669,0.203465476503016
"13","Hartford",0.0544765630779094,0.0554875192122761,0.0497067131322928,4.97067131322928,5.54875192122761,0.578080607998335
"14","Houston",0.0989917139448131,0.0919671953330221,0.0688607381521673,6.88607381521673,9.19671953330221,2.31064571808548
"15","Indianapolis",0.158085806685086,.15,0.171512846877172,17.1512846877172,15,-2.41801607223891
"16","Jacksonville",0.084669844582969,0.0769525851126844,0.0672078526499873,6.72078526499873,7.69525851126844,0.974473246269707
"17","Kansas City",0.0738354119595096,0.0710050001223521,0.0740923513625945,7.40923513625945,7.10050001223521,-0.308735124024241
"18","Las Vegas",0.153747573547427,0.1318186346173,0.0983329160238755,9.83329160238755,13.18186346173,3.34857185934248
"19","Memphis",0.182142411327282,0.173582752287034,0.160185994257895,16.0185994257895,17.3582752287034,1.33967580291385
"20","Miami",0.0433244213851462,0.0406552487845338,0.0406269393781637,4.06269393781637,4.06552487845338,0.00283094063701395
"21","Milwaukee",0.0737252233815799,0.0680483280267473,0.069231546103513,6.9231546103513,6.80483280267473,-0.118321807676566
"22","Minneapolis",0.0472427830003265,0.0401906766957368,0.0270837358508165,2.70837358508165,4.01906766957368,1.31069408449203
"23","Nashville",0.0846336078587021,0.0892414169478071,0.0636555698882053,6.36555698882053,8.92414169478071,2.55858470596018
"24","New Orleans",0.0870099293684103,0.0874047643420148,0.0897591506661012,8.97591506661012,8.74047643420148,-0.235438632408639
"25","New York",0.057821013609335,0.0515482097126976,0.0985451337646731,9.85451337646731,5.15482097126976,-4.69969240519754
"26","Palm Beach",0.0526550019909587,0.0536621928653409,0.049756400346661,4.9756400346661,5.36621928653409,0.390579251867988
"27","Philadelphia",0.0397085225472595,0.0399831027563629,0.0638195314032256,6.38195314032256,3.99831027563629,-2.38364286468627
"28","Phoenix",0.136784499285613,.15,0.105504905017868,10.5504905017868,15,3.79433571902315
"29","Pittsburgh",0.0701836922353142,0.0767861343369758,0.0788779259752572,7.88779259752572,7.67861343369758,-0.209179163828138
"30","Providence",0.0596283677487212,0.0483463533472973,0.0567539262309082,5.67539262309082,4.83463533472973,-0.840757288361097
"31","Richmond",0.229831325849342,0.241045938967937,0.276168378430637,27.6168378430637,24.1045938967937,-3.51224394626994
"32","South Bend",0.0833786971511522,0.0910905461803665,0.0926177947136031,9.26177947136031,9.10905461803665,-0.152724853323656
"33","St. Louis",0.0774598640063087,0.0764828123217625,0.0745745857449647,7.45745857449647,7.64828123217625,0.190822657679774
"34","Tampa",0.0550007464813583,0.0525984337463863,0.0477598773056095,4.77598773056095,5.25984337463863,0.483855644077688
"35","Wilmington",0.131539611360239,0.116754724799834,0.167225354822478,16.7225354822478,11.6754724799834,-5.04706300226435
