group,metric,value
White,Share of Renters,0.4543866366614331
White,Share of Defendants 2025,0.36999025047378226
Black,Share of Renters,0.2757259405322022
Black,Share of Defendants 2025,0.38592873517
Hispanic,Share of Renters,0.17560634687995372
Hispanic,Share of Defendants 2025,0.16722875549695462
