site,abs_diff,start
Albuquerque,-0.15773552290406223,0
Atlanta,-0.037520881055506106,0
Austin,0.3222549807915662,0
Bridgeport,-0.20386540924438235,0
Charleston,0.09650145772594754,0
Cincinnati,-0.048036253776435056,0
Cleveland,-0.03441574216535748,0
Columbus,-0.004438499422387054,0
Dallas,-0.02389668497051045,0
Eugene,0.18767876787678772,0
Fort Worth,-0.0030931821110967705,0
Gainesville,-0.042724196277495796,0
Hartford,-0.11780985862816962,0
Houston,-0.04448015823958462,0
Indianapolis,-0.06940835310511051,0
Jacksonville,0.02313858648090461,0
Kansas City,-0.07019521211847979,0
Las Vegas*,-0.0039021,0
Memphis,-0.18537727957169148,0
Miami,-0.16598274410774416,0
Milwaukee,-0.10015385192690163,0
Minneapolis-Saint Paul*,0.093898,0
Nashville,0.044546850998463894,0
New Orleans,-0.11526855763427879,0
New York,-0.08778005933822386,0
Palm Beach,-0.1289379310344828,0
Philadelphia,0.01514807240778615,0
Phoenix,-0.0031284060447167583,0
Pittsburgh,-0.010351363172474093,0
Portland,0.18873890721158748,0
Providence,-0.18041538076570185,0
Richmond,0.020031040838102587,0
South Bend,-0.009846260148557606,0
Southwest Oregon,0.12192474674384957,0
St. Louis,0.10683746894259616,0
Tacoma,0.093538751768589945,0
Tampa,-0.0902974504249292,0
Wilmington,-0.144977852268646,0
Connecticut,-0.1366421417849849,0
Delaware,-0.12850522347026938,0
Indiana,-0.03283902624675483,0
Minnesota*,0.07187,0
Missouri,-0.05550744534797758,0
New Mexico,-0.13634981245564826,0
Pennsylvania,-0.040921139827700515,0
Rhode Island,-0.18811625958626021,0
Virginia,0.021386298912270618,0
Wisconsin,-0.07758747427227286,0
