xfileyear,year_filings,avg_filings,pct_of_historical,missing_filings
2020,562105,1157605.9833333332,48.55754100211329,595501
2021,572672,1156777.9833333332,49.50578315380859,584106
2022,1008331,1156780.5666666664,87.16700721430402,148450
2023,1114340,1147606.9833333332,97.10118674629305,33267
