zip,xsite,eviction_count,fully_vaccinated
85286,PHOENIX,293,24941
85335,PHOENIX,226,11057
75116,DALLAS,170,5946
77375,HOUSTON,300,22561
77088,HOUSTON,389,15806
75232,DALLAS,271,9028
46240,INDIANAPOLIS,317,10869
77049,HOUSTON,201,11417
77054,HOUSTON,643,11270
76011,FORTWORTH,450,6502
77532,HOUSTON,127,8431
77084,HOUSTON,788,37860
75238,DALLAS,359,11799
75180,DALLAS,147,5986
77031,HOUSTON,205,5271
77047,HOUSTON,187,10684
77058,HOUSTON,307,7132
77063,HOUSTON,816,13451
75050,FORTWORTH,460,11138
75056,FORTWORTH,465,28744
46216,INDIANAPOLIS,55,1245
77015,HOUSTON,471,16213
75141,DALLAS,24,1029
77045,HOUSTON,203,11810
85016,PHOENIX,498,19738
75043,DALLAS,473,20894
85383,PHOENIX,90,32067
77433,HOUSTON,236,41014
76119,FORTWORTH,390,11204
76123,FORTWORTH,139,13854
77449,HOUSTON,594,41923
75244,DALLAS,158,6827
85233,PHOENIX,216,18711
85382,PHOENIX,246,20828
76177,FORTWORTH,94,7551
85248,PHOENIX,182,25674
76105,FORTWORTH,158,5369
77429,HOUSTON,241,33881
76022,FORTWORTH,136,4949
85045,PHOENIX,11,6429
77004,HOUSTON,468,12901
85012,PHOENIX,91,5954
46236,INDIANAPOLIS,82,13353
76013,FORTWORTH,328,12855
76002,FORTWORTH,77,12925
76249,FORTWORTH,31,2893
77017,HOUSTON,247,10385
76134,FORTWORTH,163,8022
77388,HOUSTON,218,18492
85354,PHOENIX,27,1831
85295,PHOENIX,272,21199
76109,FORTWORTH,226,12109
46204,INDIANAPOLIS,168,4775
85363,PHOENIX,66,2543
77070,HOUSTON,512,19168
76052,FORTWORTH,36,8282
75181,DALLAS,53,9081
75052,FORTWORTH,381,33254
76001,FORTWORTH,97,12722
75038,DALLAS,512,11158
76259,FORTWORTH,21,1640
77040,HOUSTON,403,16266
85340,PHOENIX,119,15254
85355,PHOENIX,17,4713
77396,HOUSTON,380,16764
46614,SOUTH BEND,155,12882
77099,HOUSTON,549,16463
77530,HOUSTON,147,8952
75228,DALLAS,679,20077
77056,HOUSTON,336,22169
85260,PHOENIX,340,23265
77032,HOUSTON,136,4192
77043,HOUSTON,192,10349
77346,HOUSTON,177,24359
77562,HOUSTON,46,2837
77065,HOUSTON,382,13111
75044,DALLAS,239,20041
77064,HOUSTON,326,17811
85262,PHOENIX,23,10030
75234,DALLAS,238,14820
77389,HOUSTON,117,18319
77502,HOUSTON,192,11322
77071,HOUSTON,207,10288
85050,PHOENIX,159,18263
76104,FORTWORTH,175,5961
85322,PHOENIX,3,236
76040,FORTWORTH,293,10496
76155,FORTWORTH,138,1869
77074,HOUSTON,394,11572
76063,FORTWORTH,254,27693
75067,FORTWORTH,682,23145
75149,DALLAS,306,15996
77093,HOUSTON,247,11640
77586,HOUSTON,137,9076
85083,PHOENIX,25,9778
75236,DALLAS,171,4484
77035,HOUSTON,349,12336
76164,FORTWORTH,89,4553
77028,HOUSTON,111,4873
46202,INDIANAPOLIS,304,10846
77076,HOUSTON,234,8476
75104,DALLAS,198,16622
76014,FORTWORTH,232,10059
77038,HOUSTON,168,8650
75007,FORTWORTH,225,24937
85142,PHOENIX,126,27555
77598,HOUSTON,372,7620
75212,DALLAS,162,7981
76060,FORTWORTH,28,3070
77085,HOUSTON,68,6579
75137,DALLAS,82,6792
76114,FORTWORTH,158,8069
77013,HOUSTON,143,4364
46545,SOUTH BEND,254,10420
77086,HOUSTON,129,8299
76012,FORTWORTH,159,10764
77057,HOUSTON,539,17484
77003,HOUSTON,103,4921
77505,HOUSTON,109,8247
75217,DALLAS,394,19802
77345,HOUSTON,42,11768
76053,FORTWORTH,192,9924
46617,SOUTH BEND,53,6076
46113,INDIANAPOLIS,54,4877
75203,DALLAS,181,4014
46554,SOUTH BEND,10,1482
77018,HOUSTON,125,12250
75010,FORTWORTH,245,16356
76266,FORTWORTH,47,4724
77507,HOUSTON,7,199
46278,INDIANAPOLIS,14,5121
85361,PHOENIX,13,1939
77025,HOUSTON,281,15091
77020,HOUSTON,182,7850
77039,HOUSTON,116,7126
85342,PHOENIX,6,477
77061,HOUSTON,207,6888
85374,PHOENIX,222,24082
76118,FORTWORTH,49,6120
75211,DALLAS,401,20832
85254,PHOENIX,204,27378
77571,HOUSTON,119,11299
75062,DALLAS,349,15544
77072,HOUSTON,346,20241
77080,HOUSTON,312,13499
76137,FORTWORTH,273,19843
75134,DALLAS,118,5502
76126,FORTWORTH,56,10826
76209,FORTWORTH,175,9449
77022,HOUSTON,183,8550
85259,PHOENIX,75,15029
78617,AUSTIN,52,7492
75022,FORTWORTH,23,13054
75223,DALLAS,74,4780
75041,DALLAS,123,8976
77504,HOUSTON,171,7191
75231,DALLAS,473,12135
76015,FORTWORTH,116,5607
85266,PHOENIX,7,8676
85253,PHOENIX,42,12214
76205,FORTWORTH,147,6673
75226,DALLAS,59,1976
75068,FORTWORTH,125,23411
77506,HOUSTON,216,8678
77029,HOUSTON,69,5859
75048,DALLAS,33,11448
75233,DALLAS,86,4405
77087,HOUSTON,166,12054
