xfileyear,year_filings,avg_filings,pct_of_historical,missing_filings
2020,548499,1119652.733333333,48.98831429340206,571153.7333333329
2021,551251,1118837.0666666664,49.269997966936636,567586.0666666664
2022,989417,1118837.0666666664,88.43262611487788,129420.06666666642
