month,month_filings,pct_of_historical
January,65919,0.6494939750686893
February,65926,0.7553281044531029
March,75439,0.9335884042427027
April,67979,0.8359905926104098
May,74186,0.8085427435533931
June,83097,0.8491536344014672
July,88880,0.8919346299289997
August,96208,0.9181420811700856
September,92334,0.9483449317877027
October,90688,0.911115548405651
November,83229,0.9245741326644114
December,85593,0.984060499376816
