id,name,week_date,week_filings,week_diff,month_date,month_filings,month_diff,cumulative_date,cumulative_filings,cumulative_diff,start_moratorium_date,end_moratorium_date
51760,"Richmond, VA",04/19/2020,57,0.099685204616999,03/29/2020,135,0.0953793980500212,03/01/2020,973,0.35131426920855,19/03/2020,26/04/2020
55079,"Milwaukee, WI",04/19/2020,2,0.00613873542050338,03/29/2020,17,0.0179742017339818,03/01/2020,440,0.252062328139322,19/03/2020,30/04/2020
48201,"Houston, TX",04/19/2020,197,0.22722029988466,03/29/2020,491,0.149889338319469,03/01/2020,3518,0.523200475907198,19/03/2020,30/04/2020
