xfileyear,year_filings,avg_filings,pct_of_historical,missing_filings
2020,537895,1157605.9833333332,46.46615582023239,619710.9833333332
2021,543944,1156777.9833333332,47.022333398202214,612833.9833333332
2022,974459,1156780.5666666664,84.23888056902294,182321.56666666642
2023,1084421,1147606.9833333332,94.49410954699809,63185.98333333316
