site,serial_filing_rate
Gainesville,0.0735815602836879
Miami,0.122761807437686
Minneapolis,0.125278692005521
Philadelphia,0.13556566970091
Hartford,0.146499567847882
Kansas City,0.161317876754118
Jacksonville,0.162319968859478
St. Louis,0.165219886648971
Cleveland,0.168033533807181
Bridgeport,0.17080125463359
South Bend,0.175341081354219
New Orleans,0.179281839318006
Providence,0.197546230440967
Dallas,0.229855474163532
Houston,0.234355481529951
New Mexico,0.237584002622521
Fort Worth,0.24406253729562
Milwaukee,0.245072328906184
Indianapolis,0.246572965469374
Memphis,0.275086716996531
Columbus,0.286312381377693
Cincinnati,0.293088278424088
Albuquerque,0.298009682625067
Wilmington,0.340714786264891
Greenville,0.360190987764846
Las Vegas,0.370708061630792
Charleston,0.376529651710072
