"","year","site","filings","avg_filings","renter_hh","filings_gap","percentage_of_historical"
"1","pre_pandemic","all_sites",1157692.70833333,1157692.70833333,14734516,0,1
"2","2020","all_sites",552718,1157695.54166667,14734516,604977.541666667,0.47742949688161
"3","2021","all_sites",563140,1156865.99166667,14734516,593725.991666666,0.48678066781849
"4","2022","all_sites",997331,1156865.15833333,14734516,159534.158333333,0.862097879615313
"5","2023","all_sites",1111921,1156860.575,14734516,44939.5749999997,0.961153853825471
"6","2024","all_sites",1076639,1157692.70833333,14734516,81053.708333333,0.92998685424043
