year,site,filings,avg_filings,renter_hh,filings_gap,percentage_of_historical
2020,all_sites excl newyork,492964,931928.541666667,12443515,438964.541666667,0.5289718878213345
2021,all_sites excl newyork,536073,931425.991666667,12443515,395352.99166666705,0.5755400909961362
2022,all_sites excl newyork,916011,931425.158333333,12443515,15414.158333332976,0.9834509963624832
2023,all_sites excl newyork,1016837,931420.575,12443515,-85416.42500000005,1.0917055380701677
2024,all_sites excl newyork,995266,931925.708333333,12443515,-63340.29166666698,1.067967104137459
