group,metric,value
White,Share of Renters,0.360630826258809
White,Share of Defendants,0.299229955383039
Black,Share of Renters,0.312122599501314
Black,Share of Defendants,0.488944448249481
Latinx,Share of Renters,0.25317330153007
Latinx,Share of Defendants,0.166299388010384
