site,pct_historical_2023,pct_historical_2022,difference,absolute_historical_2023,absolute_historical_2022,difference_absolute
Gainesville,1.45863125638407,1.29254341164454,0.16608784473953,2380,2109,271
Miami,1.09557409088811,0.938882134777858,0.156691956110248,47461,40673,6788
Albuquerque,0.889598874892992,0.671211935917818,0.218386938975174,9699,7318,2381
Austin,1.0253164556962,0.998083182640145,0.0272332730560579,9450,9199,251
Bridgeport,1.12147198401465,1.14545000416285,-0.0239780201481974,4490,4586,-96
Charleston,0.687122736418511,0.636887994634474,0.0502347417840375,10245,9496,749
Cincinnati,1.00014076576577,1.02102102102102,-0.0208802552552552,12789,13056,-267
Cleveland,0.784179364650017,0.676825053346557,0.107354311303459,6523,5630,893
Columbus,1.29815937517068,1.13791031733027,0.160249057840406,23768,20834,2934
Dallas,0.940079948462974,1.06354581344257,-0.1234658649796,37941,42924,-4983
Fort Worth,1.2241354054306,1.12993221738378,0.0942031880468219,45962,42425,3537
Greenville,1.04207600269342,0.945803622300109,0.0962723803933079,15089,13695,1394
Hartford,1.09678663947528,1.21088022928953,-0.114093589814253,6633,7323,-690
Houston,1.43797646172032,1.40647217035273,0.0315042913675843,83939,82100,1839
Indianapolis,0.918810619587724,0.876124370226928,0.042686249360796,27401,26128,1273
Jacksonville,1.26035453247081,1.17214147693859,0.0882130555322187,15002,13952,1050
Kansas City,0.999337602119673,0.912342680503422,0.0869949216162509,9052,8264,788
Las Vegas,1.56772563226341,1.57293029180335,-0.00520465953993554,57231,57421,-190
Memphis,1.13904234872471,1.0077529456551,0.131289403069609,30669,27134,3535
Milwaukee,1.06641153325956,1.06126275667036,0.00514877658920443,13877,13810,67
Minneapolis,1.65317332102469,1.37585968151396,0.277313639510732,13431,11178,2253
Nashville,1.26600153002677,1.06174295550172,0.204258574525054,13239,11103,2136
New Orleans,0.969371130661453,0.945259042033236,0.0241120886282176,5950,5802,148
New York,0.581032647267566,0.480296309439319,0.100736337828247,130988,108278,22710
Philadelphia,0.618120337199541,0.672932997552584,-0.0548126603530427,13070,14229,-1159
Phoenix,1.30117270121776,1.05585349369845,0.245319207519305,83172,67491,15681
Pittsburgh,0.891008438056409,0.748354966067143,0.142653471989265,13154,11048,2106
Providence,1.05211429477272,0.835572464629652,0.216541830143067,6637,5271,1366
Richmond,0.831779839947267,0.633536918212436,0.198242921734832,20190,15378,4812
South Bend,0.884313725490196,0.941176470588235,-0.0568627450980392,2706,2880,-174
St. Louis,1.04037696265339,0.932416457150469,0.107960505502922,15621,14000,1621
Wilmington,0.750149418926397,0.683475373547316,0.0666740453790813,8472,7719,753
