group,metric,value
White,Share of Renters,0.4728719966251557
White,Share of Defendants,0.4123112491365425
Black,Share of Renters,0.2834730292076369
Black,Share of Defendants,0.3630024794668952
Hispanic,Share of Renters,0.17450149786886973
Hispanic,Share of Defendants,0.1579659149351291
