month,month_last_day,month_filings,avg_filings,percentage_diff,end_moratorium_date,start_moratorium_date
January,,6309,5393.5,1.16974135533513,30/04/2020,19/03/2020
February,,5529,4113,1.34427425237053,30/04/2020,19/03/2020
March,,3073,3592.75,0.855333658061374,30/04/2020,19/03/2020
April,25/04/2020,445,3131.25,0.142115768463074,30/04/2020,19/03/2020
