group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,04/2022,,2610,2638.75,0.989104689720511,0.442682923697372,0.529227863652199
Latinx,04/2022,,1646,1917.5,0.858409387222947,0.323321959317065,0.281267763169958
Other,04/2022,,1663,1749.5,0.95055730208631,0.0401633792299733,
Black,04/2022,,,,,0.153668358525616,0.127143040504612
Female,04/2022,,,,,0.564532801551301,0.590544533558464
