site_name_full,xfilemonthgroup,xfilemonthgroup_label,num_filings,num_filings_hist_avg,ratio,post_CDC
"Milwaukee, WI",05/27/2021,May 27 to Jun 26,574,1266,0.453,0
"Milwaukee, WI",06/27/2021,Jun 27 to Jul 26,541,1203.2,0.45,0
"Milwaukee, WI",07/27/2021,Jul 27 to Aug 26,610,1258.2,0.485,0
"Milwaukee, WI",08/27/2021,Aug 27 to Sept 26,895,1283.2,0.697,1
"Milwaukee, WI",09/27/2021,Sept 27 to Oct 26,974,1097.6,0.887,1
"Milwaukee, WI",10/27/2021,Oct 27 to Nov 26,799,1054.8,0.757,1
"Minneapolis-Saint Paul, MN",05/27/2021,May 27 to Jun 26,67,737.875,0.091,0
"Minneapolis-Saint Paul, MN",06/27/2021,Jun 27 to Jul 26,133,747.125,0.178,0
"Minneapolis-Saint Paul, MN",07/27/2021,Jul 27 to Aug 26,257,739.75,0.347,0
"Minneapolis-Saint Paul, MN",08/27/2021,Aug 27 to Sept 26,262,723.25,0.362,1
"Minneapolis-Saint Paul, MN",09/27/2021,Sept 27 to Oct 26,407,661.125,0.616,1
"Minneapolis-Saint Paul, MN",10/27/2021,Oct 27 to Nov 26,347,631.5,0.549,1
"New York, NY",05/27/2021,May 27 to Jun 26,4976,17126,0.291,0
"New York, NY",06/27/2021,Jun 27 to Jul 26,3917,18419,0.213,0
"New York, NY",07/27/2021,Jul 27 to Aug 26,4481,20664.666666666668,0.217,0
"New York, NY",08/27/2021,Aug 27 to Sept 26,2223,18399,0.121,1
"New York, NY",09/27/2021,Sept 27 to Oct 26,3340,19899.666666666668,0.168,1
"New York, NY",10/27/2021,Oct 27 to Nov 26,3124,19228.333333333332,0.162,1
"Philadelphia, PA",05/27/2021,May 27 to Jun 26,303,1751,0.173,0
"Philadelphia, PA",06/27/2021,Jun 27 to Jul 26,393,1858.75,0.211,0
"Philadelphia, PA",07/27/2021,Jul 27 to Aug 26,567,1988,0.285,0
"Philadelphia, PA",08/27/2021,Aug 27 to Sept 26,521,1899.5,0.274,1
"Philadelphia, PA",09/27/2021,Sept 27 to Oct 26,726,1989.25,0.365,1
"Philadelphia, PA",10/27/2021,Oct 27 to Nov 26,937,1669.5,0.561,1
"Pittsburgh, PA",05/27/2021,May 27 to Jun 26,425,1197.125,0.355,0
"Pittsburgh, PA",06/27/2021,Jun 27 to Jul 26,489,1263.625,0.387,0
"Pittsburgh, PA",07/27/2021,Jul 27 to Aug 26,580,1307,0.444,0
"Pittsburgh, PA",08/27/2021,Aug 27 to Sept 26,476,1224.625,0.389,1
"Pittsburgh, PA",09/27/2021,Sept 27 to Oct 26,571,1189.625,0.48,1
"Pittsburgh, PA",10/27/2021,Oct 27 to Nov 26,631,1052.625,0.599,1
"Richmond, VA",05/27/2021,May 27 to Jun 26,398,1821,0.219,0
"Richmond, VA",06/27/2021,Jun 27 to Jul 26,372,1901,0.196,0
"Richmond, VA",07/27/2021,Jul 27 to Aug 26,729,1687,0.432,0
"Richmond, VA",08/27/2021,Aug 27 to Sept 26,301,1831,0.164,1
"Richmond, VA",09/27/2021,Sept 27 to Oct 26,441,2165,0.204,1
"Richmond, VA",10/27/2021,Oct 27 to Nov 26,461,1793,0.257,1
"South Bend, IN",05/27/2021,May 27 to Jun 26,120,271,0.443,0
"South Bend, IN",06/27/2021,Jun 27 to Jul 26,163,275,0.593,0
"South Bend, IN",07/27/2021,Jul 27 to Aug 26,165,278.25,0.593,0
"South Bend, IN",08/27/2021,Aug 27 to Sept 26,167,269.75,0.619,1
"South Bend, IN",09/27/2021,Sept 27 to Oct 26,191,265.75,0.719,1
"South Bend, IN",10/27/2021,Oct 27 to Nov 26,171,262.75,0.651,1
"St Louis, MO",05/27/2021,May 27 to Jun 26,739,1538,0.48,0
"St Louis, MO",06/27/2021,Jun 27 to Jul 26,858,1388.25,0.618,0
"St Louis, MO",07/27/2021,Jul 27 to Aug 26,574,1438,0.399,0
"St Louis, MO",08/27/2021,Aug 27 to Sept 26,971,1492.25,0.651,1
"St Louis, MO",09/27/2021,Sept 27 to Oct 26,941,1212,0.776,1
"St Louis, MO",10/27/2021,Oct 27 to Nov 26,856,1173.25,0.73,1
"Tampa, FL",05/27/2021,May 27 to Jun 26,999,1467,0.681,0
"Tampa, FL",06/27/2021,Jun 27 to Jul 26,1037,1578.75,0.657,0
"Tampa, FL",07/27/2021,Jul 27 to Aug 26,1124,1648.25,0.682,0
"Tampa, FL",08/27/2021,Aug 27 to Sept 26,1094,1515.75,0.722,1
"Tampa, FL",09/27/2021,Sept 27 to Oct 26,1368,1625.25,0.842,1
"Tampa, FL",10/27/2021,Oct 27 to Nov 26,1271,1382,0.92,1
"Wilmington, DE",05/27/2021,May 27 to Jun 26,306,928.25,0.33,0
"Wilmington, DE",06/27/2021,Jun 27 to Jul 26,435,1007.25,0.432,0
"Wilmington, DE",07/27/2021,Jul 27 to Aug 26,374,1014,0.369,0
"Wilmington, DE",08/27/2021,Aug 27 to Sept 26,626,1049.25,0.597,1
"Wilmington, DE",09/27/2021,Sept 27 to Oct 26,587,1000.75,0.587,1
"Wilmington, DE",10/27/2021,Oct 27 to Nov 26,559,885.75,0.631,1
Overall,05/27/2021,May 27 to Jun 26,23094,57631.183333333334,0.401,0
Overall,06/27/2021,Jun 27 to Jul 26,23031,58404.566666666666,0.394,0
Overall,07/27/2021,Jul 27 to Aug 26,26223,61813.86666666667,0.424,0
Overall,08/27/2021,Aug 27 to Sept 26,26691,60589.208333333336,0.441,1
Overall,09/27/2021,Sept 27 to Oct 26,31933,59298.61666666667,0.539,1
Overall,10/27/2021,Oct 27 to Nov 26,28510,55135.125,0.517,1
