xfilemonthgroup,xfilemonthgroup_label,num_filings,num_filings_hist_avg,ratio,post_CDC
05/27/2021,May 27 to Jun 26,27902,65415.35,0.427,0
06/27/2021,Jun 27 to Jul 26,27838,66487.98333333334,0.419,0
07/27/2021,Jul 27 to Aug 26,31638,69929.53333333334,0.452,0
08/27/2021,Aug 27 to Sept 26,32153,68642.16666666667,0.468,1
09/27/2021,Sept 27 to Oct 26,38199,66852.36666666667,0.571,1
10/27/2021,Oct 27 to Nov 26,33769,62039.25,0.544,1
