monthDate,xfileyear,xfilemonth,num_filings,num_filings_hist_avg,pct_of_historical,month
01/01/2020,2020,1,67545,69631.45,0.9700358099680533,2020-01-01
02/01/2020,2020,2,60544,60778.21666666666,0.9961463715207176,2020-02-01
03/01/2020,2020,3,35324,56693.31666666666,0.6230716789368765,2020-03-01
04/01/2020,2020,4,4890,56811.14166666666,0.08607466522485246,2020-04-01
05/01/2020,2020,5,7179,63319.20833333333,0.11337791783825472,2020-05-01
06/01/2020,2020,6,13532,67559.59999999999,0.20029721904807019,2020-06-01
07/01/2020,2020,7,16351,68739.80833333332,0.23786798940012566,2020-07-01
08/01/2020,2020,8,26048,73067.34166666666,0.35649305703266204,2020-08-01
09/01/2020,2020,9,31512,67556.08333333333,0.4664568821213979,2020-09-01
10/01/2020,2020,10,34954,69809.13333333333,0.5007081212868995,2020-10-01
11/01/2020,2020,11,34648,63099.61666666666,0.5491000077390856,2020-11-01
12/01/2020,2020,12,36151,61381.649999999994,0.5889545165371085,2020-12-01
01/01/2021,2021,1,24598,69631.45,0.35325991344428415,2021-01-01
02/01/2021,2021,2,21722,60778.21666666666,0.35739778478747736,2021-02-01
03/01/2021,2021,3,30024,56693.31666666666,0.5295862328275615,2021-03-01
04/01/2021,2021,4,25489,56811.14166666666,0.44866199221191505,2021-04-01
05/01/2021,2021,5,25825,63319.20833333333,0.40785412009652156,2021-05-01
06/01/2021,2021,6,31247,67559.59999999999,0.462510139195614,2021-06-01
07/01/2021,2021,7,31373,68739.80833333332,0.4564022036236403,2021-07-01
08/01/2021,2021,8,32531,73067.34166666666,0.4452194271471717,2021-08-01
09/01/2021,2021,9,36506,67556.08333333333,0.5403806466972504,2021-09-01
10/01/2021,2021,10,40588,69809.13333333333,0.5814138933109995,2021-10-01
11/01/2021,2021,11,37360,63099.61666666666,0.5920796666223804,2021-11-01
12/01/2021,2021,12,38677,61381.649999999994,0.6301068804764942,2021-12-01
