position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,LINK REAL ESTATE GROUP LLC,4619 REFUGEE RD,239,0.295
2,2020-03-15,LATITUDE 25 LLC,529 SAWYER BLVD,223,0.295
3,2020-03-15,RG TOWNHOMES LLC,628 E FRANSHIRE,141,0.295
4,2020-03-15,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,133,0.295
5,2020-03-15,LINK REAL ESTATE GROUP LLC,4525 LAKE SIDE N,127,0.295
6,2020-03-15,5812 INVESTMENT GROUP LLC,2093 LAKE CLUB DR,120,0.295
7,2020-03-15,HORIZONS ASSET MANAGEMENT LLC,4039 VINESHIRE DR,105,0.295
8,2020-03-15,RG TOWNHOMES LLC,4356 LEESBURG CT N,98,0.295
9,2020-03-15,5812 INVESTMENT GROUP LLC,2097 COMMONS RD N,93,0.295
10,2020-03-15,LINK REAL ESTATE GROUP LLC,665 E MORRILL AVE,89,0.295
1,2021-07-18,LINK REAL ESTATE GROUP LLC,4591 REFUGEE RD,47,0.321
2,2021-07-18,LINK REAL ESTATE GROUP LLC,2391 SHORE BLVD E,24,0.321
3,2021-07-18,5812 INVESTMENT GROUP LLC,1178 FOUNTAIN LN,22,0.321
4,2021-07-18,BEXLEY PROJECT 1 LLC,3070 E LIVINGSTON AVE,21,0.321
5,2021-07-18,5812 INVESTMENT GROUP LLC,2002 COMMONS RD N,19,0.321
6,2021-07-18,LEXINGTON PARK HOLDINGS LLC,5041 DIERKER RD,19,0.321
7,2021-07-18,FORESITE REALTY OH LLC,887 E DUBLIN-GRANVILLE RD,19,0.321
8,2021-07-18,HORIZONS ASSET MANAGEMENT LLC,1809 ELAINE RD,17,0.321
9,2021-07-18,LINK REAL ESTATE GROUP LLC,665 E MORRILL AVE,17,0.321
10,2021-07-18,5812 INVESTMENT GROUP LLC,148 PARKLAWN BLVD,17,0.321
