position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-08-01,2026-07-31,BOULDER CREEK APARTMENTS,1255 S BYRNE RD,109,0.409,41.616912,-83.623717
2,2025-08-01,2026-07-31,ARBOR LANDINGS LLC F/K/A ARBOR LANDINGS APARTMENTS,1217 BROOKVIEW DR,109,0.409,41.620505,-83.637538
3,2025-08-01,2026-07-31,ARBOR LANDINGS LLC F/K/A ARBOR LANDINGS APARTMENTS,1310 BROOKVIEW DR,91,0.409,41.620402,-83.634559
4,2025-08-01,2026-07-31,BEACON POINT APARTMENTS,2407 CHEYENNE BLVD,89,0.409,41.597054,-83.667963
5,2025-08-01,2026-07-31,HUNTERS RIDGE PROPERTY OWNER LLC  A/K/A HUNTERS RIDGE APARTMENTS,3459 GIBRALTER HEIGHTS DR,87,0.409,41.621965,-83.625208
6,2025-08-01,2026-07-31,SUNNYDALE ESTATES,5875 YERMO DR,71,0.409,41.724576,-83.598921
7,2025-08-01,2026-07-31,"WESTBROOK VILLAGE, A MANUFACTURED HOME PARK OWNED AND OPERATED BY SUN SE",5702 ANGOLA RD,61,0.409,41.626689,-83.677809
8,2025-08-01,2026-07-31,ANDOVER TOLEDO LLC,2649 EASTGATE RD,58,0.409,41.591565,-83.641623
9,2025-08-01,2026-07-31,"WILLOWBROOK PLACE,  A MANUFACTURED HOME PARK OWNED AND OPERATED BY SUN O",5001 SOUTH AVE,58,0.409,41.627795,-83.659395
10,2025-08-01,2026-07-31,"AUTHORITY, LUCAS METROPOLITAN HOUSING",1071 ARTIS PL,55,0.409,41.630261,-83.520296
