GEOID.County
27003
27027
27033
27035
27037
27053
27153
27067
27119
27123
27137
27139
27145
27169
27013
27043
27019
27025
27059
27071
27135
27171
27001
27005
27007
27095
27109
27111
27113
27163
27049
27131
27103
27087
27009
27015
27047
27061
27065
27083
27121
27147
27097
27115
27141
27091
27099
27079
27129
27155
27157
27021
27085
27167
27017
27041
27165
27149
27045
27057
27161
27039
27089
27143
27055
27159
27117
27075
27023
27107
27105
27063
27151
27127
27093
27173
27051
27073
27101
27069
27011
27029
27031
27081
27133
27125
27077
