group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,72,76.6666666666667,0.939130434782609
White,01/2021,23/01/2021,17,46.3333333333333,0.366906474820144
White,02/2020,,71,81.6666666666667,0.869387755102041
White,03/2020,,61,78.6666666666667,0.775423728813559
White,04/2020,,15,81,0.185185185185185
White,05/2020,,1,77,0.012987012987013
White,06/2020,,6,94.6666666666667,0.0633802816901409
White,07/2020,,11,85.3333333333333,0.12890625
White,08/2020,,10,92.6666666666667,0.107913669064748
White,09/2020,,9,85.3333333333333,0.10546875
White,10/2020,,27,88.3333333333333,0.305660377358491
White,11/2020,,39,75.3333333333333,0.517699115044248
White,12/2020,,35,79,0.443037974683544
Black,01/2020,,22,29.3333333333333,0.75
Black,01/2021,23/01/2021,3,19.3333333333333,0.155172413793103
Black,02/2020,,16,28.3333333333333,0.564705882352941
Black,03/2020,,31,19.6666666666667,1.57627118644068
Black,04/2020,,1,20.6666666666667,0.0483870967741936
Black,05/2020,,0,34.3333333333333,0
Black,06/2020,,0,30.6666666666667,0
Black,07/2020,,1,35,0.0285714285714286
Black,08/2020,,3,28.3333333333333,0.105882352941176
Black,09/2020,,5,28,0.178571428571429
Black,10/2020,,6,26.6666666666667,0.225
Black,11/2020,,7,18.3333333333333,0.381818181818182
Black,12/2020,,4,18.6666666666667,0.214285714285714
Latinx,01/2020,,68,79.6666666666667,0.853556485355649
Latinx,01/2021,23/01/2021,23,54,0.425925925925926
Latinx,02/2020,,57,70.6666666666667,0.806603773584906
Latinx,03/2020,,66,74.6666666666667,0.883928571428571
Latinx,04/2020,,3,82.3333333333333,0.0364372469635628
Latinx,05/2020,,1,77,0.012987012987013
Latinx,06/2020,,0,78.3333333333333,0
Latinx,07/2020,,6,95,0.0631578947368421
Latinx,08/2020,,2,93.3333333333333,0.0214285714285714
Latinx,09/2020,,13,85.3333333333333,0.15234375
Latinx,10/2020,,13,96.6666666666667,0.13448275862069
Latinx,11/2020,,13,76.6666666666667,0.169565217391304
Latinx,12/2020,,23,82.6666666666667,0.278225806451613
Other,01/2020,,151,162,0.932098765432099
Other,01/2021,23/01/2021,34,112,0.303571428571429
Other,02/2020,,125,140.666666666667,0.888625592417062
Other,03/2020,,128,142,0.901408450704225
Other,04/2020,,8,133.666666666667,0.0598503740648379
Other,05/2020,,4,151.666666666667,0.0263736263736264
Other,06/2020,,1,147.666666666667,0.00677200902934537
Other,07/2020,,11,168.333333333333,0.0653465346534654
Other,08/2020,,13,155,0.0838709677419355
Other,09/2020,,28,145,0.193103448275862
Other,10/2020,,36,166.666666666667,0.216
Other,11/2020,,50,151.666666666667,0.32967032967033
Other,12/2020,,39,155.333333333333,0.251072961373391
