type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,35001,Latinx,83,2021-07-25,84,130.666666666667,2023-04-08
County,35001,Latinx,84,2021-08-01,78,80.6666666666667,2023-04-08
County,35001,Latinx,85,2021-08-08,166,383.333333333333,2023-04-08
County,35001,Latinx,86,2021-08-15,122,304.666666666667,2023-04-08
County,35001,Latinx,87,2021-08-22,64,192.333333333333,2023-04-08
County,35001,Latinx,88,2021-08-29,59,78.6666666666667,2023-04-08
County,35001,Latinx,89,2021-09-05,63,241,2023-04-08
County,35001,Latinx,90,2021-09-12,168,420,2023-04-08
County,35001,Latinx,91,2021-09-19,82,196.333333333333,2023-04-08
County,35001,Latinx,92,2021-09-26,91,115.666666666667,2023-04-08
County,35001,Latinx,93,2021-10-03,82,79.3333333333333,2023-04-08
County,35001,Latinx,94,2021-10-10,137,490,2023-04-08
County,35001,Latinx,95,2021-10-17,128,274.333333333333,2023-04-08
County,35001,Latinx,96,2021-10-24,106,104,2023-04-08
County,35001,Latinx,97,2021-10-31,109,76.3333333333333,2023-04-08
County,35001,Latinx,98,2021-11-07,116,271,2023-04-08
County,35001,Latinx,99,2021-11-14,109,370.333333333333,2023-04-08
County,35001,Latinx,100,2021-11-21,49,112.666666666667,2023-04-08
County,35001,Latinx,101,2021-11-28,78,93.3333333333333,2023-04-08
County,35001,Latinx,102,2021-12-05,80,214.333333333333,2023-04-08
County,35001,Latinx,103,2021-12-12,182,380,2023-04-08
County,35001,Latinx,104,2021-12-19,49,136,2023-04-08
County,35001,Latinx,105,2021-12-26,47,90,2023-04-08
County,35001,Latinx,106,2022-01-02,75,80.3333333333333,2023-04-08
County,35001,Latinx,107,2022-01-09,199,382.333333333333,2023-04-08
County,35001,Latinx,108,2022-01-16,143,319.666666666667,2023-04-08
County,35001,Latinx,109,2022-01-23,119,180.666666666667,2023-04-08
County,35001,Latinx,110,2022-01-30,78,78,2023-04-08
County,35001,Latinx,111,2022-02-06,127,239.666666666667,2023-04-08
County,35001,Latinx,112,2022-02-13,224,327.333333333333,2023-04-08
County,35001,Latinx,113,2022-02-20,116,209.333333333333,2023-04-08
County,35001,Latinx,114,2022-02-27,127,87.3333333333333,2023-04-08
County,35001,Latinx,115,2022-03-06,129,193.333333333333,2023-04-08
County,35001,Latinx,116,2022-03-13,144,266,2023-04-08
County,35001,Latinx,117,2022-03-20,167,138.666666666667,2023-04-08
County,35001,Latinx,118,2022-03-27,67,73,2023-04-08
County,35001,Latinx,119,2022-04-03,71,85,2023-04-08
County,35001,Latinx,120,2022-04-10,197,361,2023-04-08
County,35001,Latinx,121,2022-04-17,148,219.333333333333,2023-04-08
County,35001,Latinx,122,2022-04-24,93,128.333333333333,2023-04-08
County,35001,Latinx,123,2022-05-01,89,78,2023-04-08
County,35001,Latinx,124,2022-05-08,193,316.666666666667,2023-04-08
County,35001,Latinx,125,2022-05-15,187,260.666666666667,2023-04-08
County,35001,Latinx,126,2022-05-22,135,142.666666666667,2023-04-08
County,35001,Latinx,127,2022-05-29,77,123.666666666667,2023-04-08
County,35001,Latinx,128,2022-06-05,97,176.333333333333,2023-04-08
County,35001,Latinx,129,2022-06-12,231,389.333333333333,2023-04-08
County,35001,Latinx,130,2022-06-19,155,228.333333333333,2023-04-08
County,35001,Latinx,131,2022-06-26,95,119.666666666667,2023-04-08
County,35001,Latinx,132,2022-07-03,98,88,2023-04-08
County,35001,Latinx,133,2022-07-10,307,447,2023-04-08
County,35001,Latinx,134,2022-07-17,154,286,2023-04-08
County,35001,Latinx,135,2022-07-24,91,142,2023-04-08
County,35001,Latinx,136,2022-07-31,105,74.6666666666667,2023-04-08
County,35001,Latinx,137,2022-08-07,179,309.666666666667,2023-04-08
County,35001,Latinx,138,2022-08-14,280,353.666666666667,2023-04-08
County,35001,Latinx,139,2022-08-21,166,198.333333333333,2023-04-08
County,35001,Latinx,140,2022-08-28,62,113.333333333333,2023-04-08
County,35001,Latinx,141,2022-09-04,60,116.333333333333,2023-04-08
County,35001,Latinx,142,2022-09-11,230,482.333333333333,2023-04-08
County,35001,Latinx,143,2022-09-18,191,237.333333333333,2023-04-08
County,35001,Latinx,144,2022-09-25,77,131.666666666667,2023-04-08
County,35001,Latinx,145,2022-10-02,43,63.6666666666667,2023-04-08
County,35001,Latinx,146,2022-10-09,246,435.666666666667,2023-04-08
County,35001,Latinx,147,2022-10-16,216,320.333333333333,2023-04-08
County,35001,Latinx,148,2022-10-23,85,123,2023-04-08
County,35001,Latinx,149,2022-10-30,80,81.3333333333333,2023-04-08
County,35001,Latinx,150,2022-11-06,90,129.666666666667,2023-04-08
County,35001,Latinx,151,2022-11-13,318,465.333333333333,2023-04-08
County,35001,Latinx,152,2022-11-20,85,133.666666666667,2023-04-08
County,35001,Latinx,153,2022-11-27,104,114,2023-04-08
County,35001,Latinx,154,2022-12-04,107,118.666666666667,2023-04-08
County,35001,Latinx,155,2022-12-11,226,422.666666666667,2023-04-08
County,35001,Latinx,156,2022-12-18,183,206,2023-04-08
County,35001,Latinx,157,2022-12-25,56,90,2023-04-08
County,35001,Latinx,158,2023-01-01,60,57.3333333333333,2023-04-08
County,35001,Latinx,159,2023-01-08,198,377.666666666667,2023-04-08
County,35001,Latinx,160,2023-01-15,257,297,2023-04-08
County,35001,Latinx,161,2023-01-22,221,220,2023-04-08
County,35001,Latinx,162,2023-01-29,87,79.3333333333333,2023-04-08
County,35001,Latinx,163,2023-02-05,123,178,2023-04-08
County,35001,Latinx,164,2023-02-12,373,390.333333333333,2023-04-08
County,35001,Latinx,165,2023-02-19,155,199,2023-04-08
County,35001,Latinx,166,2023-02-26,106,98.3333333333333,2023-04-08
County,35001,Latinx,167,2023-03-05,158,145.666666666667,2023-04-08
County,35001,Latinx,168,2023-03-12,294,289.666666666667,2023-04-08
County,35001,Latinx,169,2023-03-19,187,162,2023-04-08
County,35001,Latinx,170,2023-03-26,110,70.3333333333333,2023-04-08
