group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
White,07/2025,,3552,3463,1.02570025989027,0.399783861121709,0.528436495176849
Black,07/2025,,1135,1260.5,0.900436334787783,0.490489317054559,0.344611276986679
Other,07/2025,,1345,1156,1.16349480968858,0.0646196108355589,
Hispanic,07/2025,,,,,0.0451072109881725,0.0730075792374828
