month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1900,1772,1.07223476297968
02/2020,,1540,1752.5,0.878744650499287
03/2020,,977,1852,0.527537796976242
04/2020,,212,1447.5,0.146459412780656
05/2020,,352,1760.5,0.199943197955126
06/2020,,186,1885.5,0.0986475735879077
07/2020,,514,1691,0.303962152572442
08/2020,,637,1827,0.348659003831418
09/2020,,1320,1563,0.844529750479846
10/2020,,1213,1913.5,0.63391690619284
11/2020,,354,1595,0.221943573667712
12/2020,,121,1640.5,0.0737580006095703
01/2021,,312,1772,0.17607223476298
02/2021,,263,1670.5,0.157437892846453
03/2021,,451,1852,0.243520518358531
04/2021,,379,1447.5,0.261830742659758
05/2021,,389,1760.5,0.220959954558364
06/2021,,358,1885.5,0.189870060991779
07/2021,,477,1691,0.282081608515671
08/2021,,678,1827,0.371100164203612
09/2021,,379,1563,0.242482405630198
10/2021,,457,1913.5,0.238829370263914
11/2021,,434,1595,0.272100313479624
12/2021,,302,1640.5,0.18409021639744
01/2022,,568,1772,0.320541760722348
02/2022,,801,1670.5,0.479497156539958
03/2022,,1056,1852,0.570194384449244
04/2022,,831,1447.5,0.574093264248705
05/2022,,836,1760.5,0.474865095143425
06/2022,,957,1885.5,0.507557677008751
07/2022,,1491,1691,0.881726788882318
08/2022,,1935,1827,1.05911330049261
09/2022,,1721,1563,1.10108765195138
10/2022,,1904,1913.5,0.995035275672851
11/2022,,1661,1595,1.04137931034483
12/2022,,1630,1640.5,0.993599512343798
01/2023,,1726,1772,0.974040632054176
02/2023,,1758,1670.5,1.0523795270877
03/2023,,1858,1852,1.00323974082073
04/2023,,1499,1447.5,1.03557858376511
05/2023,,1711,1760.5,0.97188298778756
06/2023,,1750,1885.5,0.928135773004508
07/2023,,1628,1691,0.96274393849793
08/2023,,1707,1827,0.93431855500821
09/2023,,1459,1563,0.933461292386436
10/2023,,1895,1913.5,0.990331852626078
11/2023,,1507,1595,0.944827586206897
12/2023,,1709,1640.5,1.04175556232856
01/2024,,1818,1772,1.02595936794582
02/2024,,1747,1752.5,0.996861626248217
03/2024,,1846,1852,0.996760259179266
04/2024,,1396,1447.5,0.964421416234888
05/2024,,1810,1760.5,1.02811701221244
06/2024,,2021,1885.5,1.07186422699549
07/2024,,1754,1691,1.03725606150207
08/2024,,1947,1827,1.06568144499179
09/2024,,1667,1563,1.06653870761356
10/2024,,1932,1913.5,1.00966814737392
11/2024,,1683,1595,1.0551724137931
12/2024,,1572,1640.5,0.958244437671442
01/2025,,2256,1772,1.27313769751693
02/2025,,1450,1670.5,0.868003591739
03/2025,,1654,1852,0.893088552915767
04/2025,,1354,1447.5,0.935405872193437
05/2025,,1811,1760.5,1.02868503266118
