group,month,month_last_day,month_filings,avg_filings,month_diff,month_filings_imputed,baseline_share
Black,01/2020,,1582,22127.5,0.0714947463563439,0.495272107186358,
Hispanic,01/2020,,611,8550,0.0714619883040936,0.233149817295981,
Other,01/2020,,2435,34966.5,0.0696380821643573,0.0630667478684531,
White,01/2020,,1151,15926.5,0.0722694879603177,0.208511327649208,
Female,01/2020,,,,,0.52658395848012,
