position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,TIMBERLAND STL LLC,5314 KNOLL CREEK DR,168,0.288
2,2020-03-15,"MIMG CXXV 756 OP, LLC",11109 RIAZA SQ,127,0.288
3,2020-03-15,MILLS CITYVIEW LLC,1600 PINE ST,105,0.288
4,2020-03-15,"SANSONE GROUP, LLC AS AGENT FOR SPANISH COVE TOWNHOMES",11900 EL SABADO DR,105,0.288
5,2020-03-15,ARIA MISSOURI MANAGEMENT LLC,7844 RIO TINTO PL,99,0.288
6,2020-03-15,"LUCAS HUNT VILLAGE ASSOCIATES, L.P.",5329 F GLADSTONE PLACE,85,0.288
7,2020-03-15,POLARIS MO7 LLC,11823 KINGSFONT PL,63,0.288
8,2020-03-15,MILLS CITYVIEW LLC,111 N 15TH ST,59,0.288
9,2020-03-15,CROSSING AT NORTHPOINTE,14358 203 SUMMERFIELD LANE,56,0.288
10,2020-03-15,MILLS WEST POINTE INVESTOR 1 LLC,12674 SAUTERNE DR,55,0.288
1,2021-07-18,AWE BELLA VISTA LLC,11109 RIAZA SQ,22,0.375
2,2021-07-18,TIMBERLAND STL LLC,5314 KNOLL CREEK DR,20,0.375
3,2021-07-18,MILLS CITYSIDE LLC,1600 PINE ST,16,0.375
4,2021-07-18,HOME PARTNERS LLC,9640 DIAMOND DR,16,0.375
5,2021-07-18,ARIA MISSOURI MANAGEMENT LLC,7844 RIO TINTO PL,14,0.375
6,2021-07-18,CROSSING AT NORTHPOINTE,14323 107 SUNSWEPT PARK DRIVE,13,0.375
7,2021-07-18,TPAF V PELICAN COVE LLC,2140 FLORDAWN DR,13,0.375
8,2021-07-18,POLARIS MO7 LLC,11823 KINGSFONT PL,11,0.375
9,2021-07-18,MERCHANDISE MART EQUITY LLC,1000 WASHINGTON AVE,11,0.375
10,2021-07-18,FOREST PARK APARTMENTS,5453 DELMAR BLVD,11,0.375
