month,month_last_day,month_filings,avg_filings,percentage_diff
January,,1444,1067.75,1.35237649262468
February,,1127,883,1.27633069082673
March,,807,847.25,0.952493360873414
April,,125,995.25,0.125596583772921
May,02/05/2020,0,92.25,0
