group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,430,395,1.08860759493671
White,February,,308,339.75,0.906548933038999
White,March,,300,334.25,0.897531787584144
White,April,,41,357,0.11484593837535
White,May,09/05/2020,2,115.25,0.017353579175705
Black,January,,848,553.5,1.53206865401987
Black,February,,668,449.25,1.48692264885921
Black,March,,412,418.5,0.984468339307049
Black,April,,80,520.75,0.153624579932789
Black,May,09/05/2020,0,174.25,0
Other,January,,164,119.25,1.37526205450734
Other,February,,150,94,1.59574468085106
Other,March,,93,94.5,0.984126984126984
Other,April,,4,117.5,0.0340425531914894
Other,May,09/05/2020,1,28.75,0.0347826086956522
