share,last_year,prepandemic,renters
white_share,0.3912906646301111,0.39812033870565156,0.4765187890488377
black_share,0.40153011044123427,0.4086143718754604,0.2710558967535338
latinx_share,0.15689118198557417,0.14816392116494526,0.1749975088849901
other_share,0.05028804294308045,0.04510136825394273,0.07742780531263838
female_share,0.5928876773298299,0.5954064771908458,0.5285664816698662
