site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site
45019,0.35150375939849626,22534,9656,828,0.4990394144580581,0.6476190476190476,0.7908309455587392,1346,57055,0.1118920340022785,0.16924020681798266,charleston
39061,0.2294057281462823,31916,12560,752,0.821489058309353,0.9822322322322322,0.9014624790218173,906,143075,0.07491874890791543,0.08778612615760964,cincinnati
39035,0.14255844896407527,14887,6079,475,0.5886632792265565,0.7308027529828991,0.7648953301127214,799,104282,0.05044974204560711,0.05829385704148367,cleveland
39049,0.25118622224825726,52966,21879,1887,0.9477281673843805,1.1949860724233983,1.164335664335662,1102,257009,0.06642179845841975,0.0851293145376232,columbus
09001,0.09140727750986409,8536,4635,337,0.7021854177520631,1.1576887852801594,1.1025081788440554,1644,118307,0.03856069378819512,0.03917773250948803,bridgeport
09003,0.11264822134387352,13234,7530,646,0.720884627955115,1.245108306233809,1.491916859122402,1221,121667,0.058224498015073935,0.06189024139659891,hartford
09,0.10267369952710076,41417,22849,1753,0.6928314133089469,1.1607511768889485,1.1935996368588262,1277,476797,0.046124451286396514,0.047921861924466805,connecticut
48113,0.17263145868441346,90656,42286,3067,0.7411743545301437,1.047737821899932,1.2160983346550356,1273,482309,0.07259039329558437,0.08767408445623034,dallas
10003,0.2608510032730895,18680,8140,700,0.5424043787248561,0.7207526286662977,0.9129442451907401,1236,70242,0.1000398621907121,0.11588508299877566,wilmington
10,0.25199089874857794,28456,12232,1108,0.5315798322467356,0.6970197732064505,0.9020964787299003,1208,108545,0.09717628633285734,0.11269058915657101,delaware
48439,0.24043515462657378,89384,43677,3392,0.7863499003690524,1.1632775358555392,1.4985641705323614,1287,442278,0.07398966261039437,0.09875462944121119,fortworth
48201,0.26546710998109396,167558,82726,6633,0.9464187625410032,1.417196306511572,1.7678571428571428,1168,832215,0.07372614048052487,0.09940460097450779,houston
45045,0.35982074543665976,34181,13943,1075,0.7793116813533817,0.9629309898306255,1.1393746687864335,1077,61820,0.14799417664186348,0.22554189582659334,greenville
12103,0.08418789282170029,46485,19336,1521,0.8693212898158408,1.0993859449624743,1.2565055762081785,1313,350246,0.05178645866048435,0.05520691171348138,tampa
18097,0.24599843841499122,63595,26627,1876,0.7002158067428597,0.892856843464192,1.009009009009009,960,169686,0.12076423511662718,0.1569192508515729,indianapolis
18141,0.15258964143426296,6434,2963,228,0.6901952370735893,0.9683006535947712,1.0122086570477247,906,32277,0.07776435232518511,0.09179911392012888,southbend
18,0.17923037250237078,173746,72271,5340,0.7841346170119383,0.9920589708920445,1.1559692607425045,905,774845,0.07757293394162704,0.09327155753731392,indiana
