position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE BROOKLYN 9669,11991 AUDELIA RD,227,0.259
2,2020-03-15,9350 SKILLMAN STREET LLC,9350 SKILLMAN ST,178,0.259
3,2020-03-15,VOLARA APARTMENTS,3500 E OVERTON RD,147,0.259
4,2020-03-15,241 INTERSTATE LLC,335 E I30 FWY,137,0.259
5,2020-03-15,SEACREST APARTMENTS,3002 BELT LINE RD,120,0.259
6,2020-03-15,POLARIS TX16 LLC,8081 MARVIN D LOVE FWY,115,0.259
7,2020-03-15,800 LINK APARTMENTS,200 JELLISON BLVD,110,0.259
8,2020-03-15,GLEN AT HIGHPOINT,9050 MARKVILLE DR,108,0.259
9,2020-03-15,MANDALAY PALMS APTS,3150 CLIFF CREEK CROSSING DR,104,0.259
10,2020-03-15,REGAL CROSSING APARTMENTS,7575 CHAUCER PL,101,0.259
1,2021-07-11,800 LINK,200 JELLISON BLVD,31,0.312
2,2021-07-11,THE BERNARD APARTMENTS,9669 FOREST LN,30,0.312
3,2021-07-11,S2 LAKE VILLAGE NORTH TRPL LLC,235 E I30 FWY,27,0.312
4,2021-07-11,ALISTA OWNER LLC,10062 ROYAL LN,25,0.312
5,2021-07-11,GLEN AT HIGHPOINT,9050 MARKVILLE DR,24,0.312
6,2021-07-11,AV WOODCHASE,13740 MONTFORT DR,23,0.312
7,2021-07-11,EXCHANGE 7272,7272 MARVIN D LOVE FWY,23,0.312
8,2021-07-11,MOUNTAIN VALLEY APTS,5939 MOUNTAIN VALLEY LN,21,0.312
9,2021-07-11,THE KONTOUR AT KESSLER PARK,1411 WINDING BROOK CIR,18,0.312
10,2021-07-11,9350 SKILLMAN STREET LLC,9340 SKILLMAN ST,18,0.312
