month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_baseline
2020-01-01,NA,NA,NA,NA,1159
2020-02-01,NA,NA,NA,NA,1159
2020-03-01,NA,NA,NA,NA,1159
2020-04-01,NA,NA,NA,NA,1159
2020-05-01,NA,NA,NA,NA,1159
2020-06-01,NA,NA,NA,NA,1159
2020-07-01,NA,NA,NA,NA,1159
2020-08-01,NA,NA,NA,NA,1159
2020-09-01,NA,NA,NA,NA,1159
2020-10-01,NA,NA,NA,NA,1159
2020-11-01,NA,NA,NA,NA,1159
2020-12-01,NA,NA,NA,NA,1159
2021-01-01,NA,NA,NA,NA,1159
2021-02-01,NA,NA,NA,NA,1159
2021-03-01,NA,NA,NA,NA,1159
2021-04-01,NA,NA,NA,NA,1159
2021-05-01,NA,NA,NA,NA,1159
2021-06-01,NA,NA,NA,NA,1159
2021-07-01,NA,NA,NA,NA,1159
2021-08-01,NA,NA,NA,NA,1159
2021-09-01,NA,NA,NA,NA,1159
2021-10-01,NA,NA,NA,NA,1159
2021-11-01,NA,NA,NA,NA,1159
2021-12-01,NA,NA,NA,NA,1159
2022-01-01,NA,NA,NA,NA,1159
2022-02-01,NA,NA,NA,NA,1159
2022-03-01,NA,NA,NA,NA,1159
2022-04-01,NA,NA,NA,NA,1159
2022-05-01,NA,NA,NA,NA,1159
2022-06-01,NA,NA,NA,NA,1159
2022-07-01,NA,NA,NA,NA,1159
2022-08-01,NA,NA,NA,NA,1159
2022-09-01,NA,NA,NA,NA,1159
2022-10-01,NA,NA,NA,NA,1159
2022-11-01,NA,NA,NA,NA,1159
2022-12-01,NA,NA,NA,NA,1159
2023-01-01,1202.78,0.356,0.482,0.013,1159
2023-02-01,1142,0.356,0.482,0.013,1159
2023-03-01,1134.54,0.356,0.482,0.013,1159
2023-04-01,1088.27,0.356,0.482,0.013,1159
2023-05-01,1100,0.356,0.482,0.013,1159
2023-06-01,1141,0.356,0.482,0.013,1159
2023-07-01,1115.945,0.356,0.482,0.013,1159
2023-08-01,1147.98,0.356,0.482,0.013,1159
2023-09-01,1105.97,0.356,0.482,0.013,1159
2023-10-01,1150.455,0.356,0.482,0.013,1159
2023-11-01,1184.53,0.356,0.482,0.013,1159
2023-12-01,1148.895,0.356,0.482,0.013,1159
2024-01-01,1230.185,0.356,0.482,0.013,1159
2024-02-01,1207.17,0.356,0.482,0.013,1159
2024-03-01,1160.8899999999999,0.356,0.482,0.013,1159
2024-04-01,1179.88,0.356,0.482,0.013,1159
2024-05-01,1194.59,0.356,0.482,0.013,1159
2024-06-01,1129.9099999999999,0.356,0.482,0.013,1159
2024-07-01,1144.275,0.356,0.482,0.013,1159
2024-08-01,1125,0.356,0.482,0.013,1159
2024-09-01,1149.615,0.356,0.482,0.013,1159
2024-10-01,1209,0.356,0.482,0.013,1159
2024-11-01,1177.5,0.356,0.482,0.013,1159
2024-12-01,1224,0.356,0.482,0.013,1159
2025-01-01,1298.5,0.356,0.482,0.013,1159
2025-02-01,1288.575,0.356,0.482,0.013,1159
2025-03-01,1259.28,0.356,0.482,0.013,1159
2025-04-01,1299.97,0.356,0.482,0.013,1159
2025-05-01,1290.89,0.356,0.482,0.013,1159
2025-06-01,1380.89,0.356,0.482,0.013,1159
2025-07-01,1310,0.356,0.482,0.013,1159
2025-08-01,1324.3200000000002,0.356,0.482,0.013,1159
2025-09-01,1206.96,0.356,0.482,0.013,1159
2025-10-01,1194,0.356,0.482,0.013,1159
2025-11-01,1079.135,0.356,0.482,0.013,1159
2025-12-01,1159,0.356,0.482,0.013,1159
2026-01-01,1110,0.356,0.482,0.013,1159
2026-02-01,1095,0.356,0.482,0.013,1159
2026-03-01,1037,0.356,0.482,0.013,1159
2026-04-01,1030,0.356,0.482,0.013,1159
