month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_baseline
2020-01-01,1802.325,0.106,0.146,0.065,1943
2020-02-01,1664.75,0.106,0.146,0.065,1943
2020-03-01,1637.5,0.106,0.146,0.065,1943
2020-04-01,1672.5,0.106,0.146,0.065,1943
2020-05-01,1865.75,0.106,0.146,0.065,1943
2020-06-01,2157.55,0.106,0.146,0.065,1943
2020-07-01,1938.3600000000001,0.106,0.146,0.065,1943
2020-08-01,1800,0.106,0.146,0.065,1943
2020-09-01,2252,0.106,0.146,0.065,1943
2020-10-01,1933,0.106,0.146,0.065,1943
2020-11-01,1929.55,0.106,0.146,0.065,1943
2020-12-01,2153,0.106,0.146,0.065,1943
2021-01-01,2255.125,0.106,0.146,0.065,1943
2021-02-01,1981.85,0.106,0.146,0.065,1943
2021-03-01,2250,0.106,0.146,0.065,1943
2021-04-01,2095,0.106,0.146,0.065,1943
2021-05-01,1980,0.106,0.146,0.065,1943
2021-06-01,1955.4850000000001,0.106,0.146,0.065,1943
2021-07-01,1782.4850000000001,0.106,0.146,0.065,1943
2021-08-01,2440,0.106,0.146,0.065,1943
2021-09-01,2075,0.106,0.146,0.065,1943
2021-10-01,2340,0.106,0.146,0.065,1943
2021-11-01,1825,0.106,0.146,0.065,1943
2021-12-01,2115.48,0.106,0.146,0.065,1943
2022-01-01,2030,0.106,0.146,0.065,1943
2022-02-01,2169.5,0.106,0.146,0.065,1943
2022-03-01,2543.75,0.106,0.146,0.065,1943
2022-04-01,2068,0.106,0.146,0.065,1943
2022-05-01,1841.74,0.106,0.146,0.065,1943
2022-06-01,1819.07,0.106,0.146,0.065,1943
2022-07-01,1899.62,0.106,0.146,0.065,1943
2022-08-01,2245,0.106,0.146,0.065,1943
2022-09-01,2038,0.106,0.146,0.065,1943
2022-10-01,2100,0.106,0.146,0.065,1943
2022-11-01,2088.3,0.106,0.146,0.065,1943
2022-12-01,2631,0.106,0.146,0.065,1943
2023-01-01,2370,0.106,0.146,0.065,1943
2023-02-01,2210.5,0.106,0.146,0.065,1943
2023-03-01,1940.725,0.106,0.146,0.065,1943
2023-04-01,1675,0.106,0.146,0.065,1943
2023-05-01,1652.175,0.106,0.146,0.065,1943
2023-06-01,1684.79,0.106,0.146,0.065,1943
2023-07-01,1807,0.106,0.146,0.065,1943
2023-08-01,1765.92,0.106,0.146,0.065,1943
2023-09-01,2037.9850000000001,0.106,0.146,0.065,1943
2023-10-01,1980.64,0.106,0.146,0.065,1943
2023-11-01,2118.51,0.106,0.146,0.065,1943
2023-12-01,2248.98,0.106,0.146,0.065,1943
2024-01-01,1853,0.106,0.146,0.065,1943
2024-02-01,2300.77,0.106,0.146,0.065,1943
2024-03-01,2144.52,0.106,0.146,0.065,1943
2024-04-01,1705.0900000000001,0.106,0.146,0.065,1943
2024-05-01,1835,0.106,0.146,0.065,1943
2024-06-01,1909.3200000000002,0.106,0.146,0.065,1943
2024-07-01,1669.5,0.106,0.146,0.065,1943
2024-08-01,1870.595,0.106,0.146,0.065,1943
2024-09-01,1949.775,0.106,0.146,0.065,1943
2024-10-01,2021.31,0.106,0.146,0.065,1943
2024-11-01,2230,0.106,0.146,0.065,1943
2024-12-01,2030,0.106,0.146,0.065,1943
2025-01-01,1743.7,0.106,0.146,0.065,1943
2025-02-01,1775.995,0.106,0.146,0.065,1943
2025-03-01,1902.5,0.106,0.146,0.065,1943
2025-04-01,2001,0.106,0.146,0.065,1943
2025-05-01,1878.54,0.106,0.146,0.065,1943
2025-06-01,2057.6,0.106,0.146,0.065,1943
2025-07-01,1794,0.106,0.146,0.065,1943
2025-08-01,1980,0.106,0.146,0.065,1943
2025-09-01,2055,0.106,0.146,0.065,1943
2025-10-01,2104.94,0.106,0.146,0.065,1943
2025-11-01,2241.325,0.106,0.146,0.065,1943
2025-12-01,2000.38,0.106,0.146,0.065,1943
2026-01-01,2106.1549999999997,0.106,0.146,0.065,1943
2026-02-01,2226,0.106,0.146,0.065,1943
2026-03-01,1819.5,0.106,0.146,0.065,1943
2026-04-01,2000,0.106,0.146,0.065,1943
2026-05-01,1922.1799999999998,0.106,0.146,0.065,1943
