group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,01/2023,07/01/2023,128,166.404761904762,0.769208756617542,2023-01-01
White,08/2022,,2035,1188.82023809524,1.7117810874927,2022-08-01
White,09/2022,,1923,999.052380952381,1.92482399988561,2022-09-01
White,10/2022,,1774,1072.77857142857,1.65364973466765,2022-10-01
White,11/2022,,1550,929.253571428572,1.66800542678263,2022-11-01
White,12/2022,,1474,919.092857142857,1.60375525557032,2022-12-01
Black,01/2023,07/01/2023,18,15.1488095238095,1.18821218074656,2023-01-01
Black,08/2022,,147,151.330952380952,0.971380921663336,2022-08-01
Black,09/2022,,150,126.505952380952,1.1857149578883,2022-09-01
Black,10/2022,,152,145.529761904762,1.04445989611027,2022-10-01
Black,11/2022,,160,109.620238095238,1.45958449625873,2022-11-01
Black,12/2022,,157,113.961904761905,1.37765335116162,2022-12-01
Other,01/2023,07/01/2023,10,10.25,0.975609756097561,2023-01-01
Other,08/2022,,232,92.6178571428571,2.50491651563645,2022-08-01
Other,09/2022,,148,92.5714285714286,1.59876543209877,2022-09-01
Other,10/2022,,130,83.1071428571429,1.56424581005587,2022-10-01
Other,11/2022,,116,76.3547619047619,1.51922417287723,2022-11-01
Other,12/2022,,134,68.6964285714286,1.95061086560957,2022-12-01
