position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,THE BROOKLYN 9669,11991 AUDELIA RD,227,0.257
2,2020-03-15,9350 SKILLMAN STREET LLC,9350 SKILLMAN ST,178,0.257
3,2020-03-15,VOLARA APARTMENTS,3500 E OVERTON RD,147,0.257
4,2020-03-15,241 INTERSTATE LLC,335 E I30 FWY,137,0.257
5,2020-03-15,POLARIS TX16 LLC,8081 MARVIN D LOVE FWY,121,0.257
6,2020-03-15,SEACREST APARTMENTS,3002 BELT LINE RD,120,0.257
7,2020-03-15,800 LINK APARTMENTS,200 JELLISON BLVD,110,0.257
8,2020-03-15,GLEN AT HIGHPOINT,9050 MARKVILLE DR,108,0.257
9,2020-03-15,MANDALAY PALMS APTS,3150 CLIFF CREEK CROSSING DR,104,0.257
10,2020-03-15,REGAL CROSSING APARTMENTS,7575 CHAUCER PL,101,0.257
1,2021-07-18,800 LINK,200 JELLISON BLVD,31,0.308
2,2021-07-18,THE BERNARD APARTMENTS,11991 AUDELIA RD,27,0.308
3,2021-07-18,AV WOODCHASE,13740 MONTFORT DR,23,0.308
4,2021-07-18,EXCHANGE 7272,7272 MARVIN D LOVE FWY,23,0.308
5,2021-07-18,MOUNTAIN VALLEY APTS,5939 MOUNTAIN VALLEY LN,21,0.308
6,2021-07-18,GLEN AT HIGHPOINT,9050 MARKVILLE DR,21,0.308
7,2021-07-18,WOODLAND RIDGE POE LLC,3713 WILLIAM DEHAES DR,20,0.308
8,2021-07-18,THE KONTOUR AT KESSLER PARK,1409 WINDING BROOK CIR,19,0.308
9,2021-07-18,9350 SKILLMAN STREET LLC,9340 SKILLMAN ST,18,0.308
10,2021-07-18,THE MANSIONS AT BAYSIDE,1801 BAYSIDE DR,18,0.308
