group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,359,395.75,0.907138344914719
White,February,,282,319.25,0.883320281910728
White,March,,226,280.25,0.806422836752899
White,April,,78,347.5,0.224460431654676
White,May,30/05/2020,95,350.75,0.270848182466144
Black,January,,273,277.25,0.984670874661857
Black,February,,191,247.25,0.772497472194135
Black,March,,131,194.75,0.672657252888318
Black,April,,44,234,0.188034188034188
Black,May,30/05/2020,38,240.5,0.158004158004158
Latinx,January,,19,20,0.95
Latinx,February,,14,24.25,0.577319587628866
Latinx,March,,8,13.75,0.581818181818182
Latinx,April,,3,19.75,0.151898734177215
Latinx,May,30/05/2020,2,16,0.125
Other,January,,103,127,0.811023622047244
Other,February,,103,106.5,0.967136150234742
Other,March,,68,95,0.715789473684211
Other,April,,28,108.25,0.258660508083141
Other,May,30/05/2020,22,106,0.207547169811321
