type,GEOID,month,filings_2020,filings_avg,last_updated
ZIP Code,15001,01/2020,26,34.5,2024-10-12
ZIP Code,15001,02/2020,23,22,2024-10-12
ZIP Code,15001,03/2020,7,18.75,2024-10-12
ZIP Code,15001,04/2020,0,25.5,2024-10-12
ZIP Code,15001,05/2020,1,30.75,2024-10-12
ZIP Code,15001,06/2020,2,31.25,2024-10-12
ZIP Code,15001,07/2020,0,25.25,2024-10-12
ZIP Code,15001,08/2020,2,29.75,2024-10-12
ZIP Code,15001,09/2020,12,39.25,2024-10-12
ZIP Code,15001,10/2020,4,39.75,2024-10-12
ZIP Code,15001,11/2020,6,26.75,2024-10-12
ZIP Code,15001,12/2020,8,22.5,2024-10-12
ZIP Code,15001,01/2021,10,34.5,2024-10-12
ZIP Code,15001,02/2021,4,21.75,2024-10-12
ZIP Code,15001,03/2021,15,18.75,2024-10-12
ZIP Code,15001,04/2021,16,25.5,2024-10-12
ZIP Code,15001,05/2021,9,30.75,2024-10-12
ZIP Code,15001,06/2021,11,31.25,2024-10-12
ZIP Code,15001,07/2021,3,25.25,2024-10-12
ZIP Code,15001,08/2021,12,29.75,2024-10-12
ZIP Code,15001,09/2021,28,39.25,2024-10-12
ZIP Code,15001,10/2021,9,39.75,2024-10-12
ZIP Code,15001,11/2021,15,26.75,2024-10-12
ZIP Code,15001,12/2021,12,22.5,2024-10-12
ZIP Code,15001,01/2022,18,34.5,2024-10-12
ZIP Code,15001,02/2022,25,21.75,2024-10-12
ZIP Code,15001,03/2022,20,18.75,2024-10-12
ZIP Code,15001,04/2022,24,25.5,2024-10-12
ZIP Code,15001,05/2022,28,30.75,2024-10-12
ZIP Code,15001,06/2022,14,31.25,2024-10-12
ZIP Code,15001,07/2022,12,25.25,2024-10-12
ZIP Code,15001,08/2022,33,29.75,2024-10-12
ZIP Code,15001,09/2022,35,39.25,2024-10-12
ZIP Code,15001,10/2022,34,39.75,2024-10-12
ZIP Code,15001,11/2022,54,26.75,2024-10-12
ZIP Code,15001,12/2022,13,22.5,2024-10-12
ZIP Code,15001,01/2023,28,34.5,2024-10-12
ZIP Code,15001,02/2023,18,21.75,2024-10-12
ZIP Code,15001,03/2023,24,18.75,2024-10-12
ZIP Code,15001,04/2023,43,25.5,2024-10-12
ZIP Code,15001,05/2023,25,30.75,2024-10-12
ZIP Code,15001,06/2023,13,31.25,2024-10-12
ZIP Code,15001,07/2023,18,25.25,2024-10-12
ZIP Code,15001,08/2023,40,29.75,2024-10-12
ZIP Code,15001,09/2023,33,39.25,2024-10-12
ZIP Code,15001,10/2023,14,39.75,2024-10-12
ZIP Code,15001,11/2023,15,26.75,2024-10-12
ZIP Code,15001,12/2023,33,22.5,2024-10-12
ZIP Code,15001,01/2024,9,34.5,2024-10-12
ZIP Code,15001,02/2024,16,22,2024-10-12
ZIP Code,15001,03/2024,35,18.75,2024-10-12
ZIP Code,15001,04/2024,13,25.5,2024-10-12
ZIP Code,15001,05/2024,16,30.75,2024-10-12
ZIP Code,15001,06/2024,20,31.25,2024-10-12
ZIP Code,15001,07/2024,15,25.25,2024-10-12
ZIP Code,15001,08/2024,22,29.75,2024-10-12
ZIP Code,15001,09/2024,18,39.25,2024-10-12
ZIP Code,15001,10/2024,4,17.5,2024-10-12
ZIP Code,15003,01/2020,24,17,2024-10-12
ZIP Code,15003,02/2020,21,15.75,2024-10-12
ZIP Code,15003,03/2020,12,13.25,2024-10-12
ZIP Code,15003,04/2020,0,15,2024-10-12
ZIP Code,15003,05/2020,1,18,2024-10-12
ZIP Code,15003,06/2020,3,22,2024-10-12
ZIP Code,15003,07/2020,7,14.75,2024-10-12
ZIP Code,15003,08/2020,3,20.5,2024-10-12
ZIP Code,15003,09/2020,13,21.25,2024-10-12
ZIP Code,15003,10/2020,12,20.5,2024-10-12
ZIP Code,15003,11/2020,11,11,2024-10-12
ZIP Code,15003,12/2020,7,9.5,2024-10-12
ZIP Code,15003,01/2021,10,17,2024-10-12
ZIP Code,15003,02/2021,8,15.75,2024-10-12
ZIP Code,15003,03/2021,11,13.25,2024-10-12
ZIP Code,15003,04/2021,8,15,2024-10-12
ZIP Code,15003,05/2021,7,18,2024-10-12
ZIP Code,15003,06/2021,8,22,2024-10-12
ZIP Code,15003,07/2021,20,14.75,2024-10-12
ZIP Code,15003,08/2021,7,20.5,2024-10-12
ZIP Code,15003,09/2021,21,21.25,2024-10-12
ZIP Code,15003,10/2021,11,20.5,2024-10-12
ZIP Code,15003,11/2021,10,11,2024-10-12
ZIP Code,15003,12/2021,6,9.5,2024-10-12
ZIP Code,15003,01/2022,11,17,2024-10-12
ZIP Code,15003,02/2022,16,15.75,2024-10-12
ZIP Code,15003,03/2022,17,13.25,2024-10-12
ZIP Code,15003,04/2022,15,15,2024-10-12
ZIP Code,15003,05/2022,19,18,2024-10-12
ZIP Code,15003,06/2022,15,22,2024-10-12
ZIP Code,15003,07/2022,12,14.75,2024-10-12
ZIP Code,15003,08/2022,12,20.5,2024-10-12
ZIP Code,15003,09/2022,30,21.25,2024-10-12
ZIP Code,15003,10/2022,13,20.5,2024-10-12
ZIP Code,15003,11/2022,14,11,2024-10-12
ZIP Code,15003,12/2022,17,9.5,2024-10-12
ZIP Code,15003,01/2023,19,17,2024-10-12
ZIP Code,15003,02/2023,14,15.75,2024-10-12
ZIP Code,15003,03/2023,18,13.25,2024-10-12
ZIP Code,15003,04/2023,15,15,2024-10-12
ZIP Code,15003,05/2023,19,18,2024-10-12
ZIP Code,15003,06/2023,12,22,2024-10-12
ZIP Code,15003,07/2023,13,14.75,2024-10-12
ZIP Code,15003,08/2023,16,20.5,2024-10-12
ZIP Code,15003,09/2023,18,21.25,2024-10-12
ZIP Code,15003,10/2023,5,20.5,2024-10-12
ZIP Code,15003,11/2023,24,11,2024-10-12
ZIP Code,15003,12/2023,13,9.5,2024-10-12
ZIP Code,15003,01/2024,27,17,2024-10-12
ZIP Code,15003,02/2024,13,15.75,2024-10-12
ZIP Code,15003,03/2024,19,13.25,2024-10-12
ZIP Code,15003,04/2024,9,15,2024-10-12
ZIP Code,15003,05/2024,21,18,2024-10-12
ZIP Code,15003,06/2024,27,22,2024-10-12
ZIP Code,15003,07/2024,19,14.75,2024-10-12
ZIP Code,15003,08/2024,15,20.5,2024-10-12
ZIP Code,15003,09/2024,18,21.25,2024-10-12
ZIP Code,15003,10/2024,3,13.75,2024-10-12
ZIP Code,15004,01/2020,0,0.25,2024-10-12
ZIP Code,15004,02/2020,0,0.25,2024-10-12
ZIP Code,15004,03/2020,0,0,2024-10-12
ZIP Code,15004,04/2020,0,0,2024-10-12
ZIP Code,15004,05/2020,0,0.5,2024-10-12
ZIP Code,15004,06/2020,0,0,2024-10-12
